Attraction ID,Parent Site ID,Site Name (English),Name (English),Name (Localized),Description (English),Description (Localized),Location Guide (English) 'NULLABLE',Location Guide (Localized) 'NULLABLE',Type,Historical Periods (comma-separated),Latitude 'NULLABLE',Longitude 'NULLABLE',Is Featured?
ATTR-012,SITE-152,Cairo Citadel,Salah al-Din Square (Citadel Square),ميدان صلاح الدين (ميدان القلعة),"Salah al-Din Square, situated beneath the Citadel, is one of the most historically significant public spaces in Cairo. Also known as al-Remela Square, it served as a polo court, prayer ground for major Islamic festivals (Eid al-Fitr and Eid al-Adha), and a reception venue for foreign ambassadors during the Mamluk period. The square overlooks the Cairo Citadel's Bab al-Azzab, the Mosque of Sultan Hassan, and Al-Rifai Mosque, forming one of Cairo's most dramatic architectural vistas. Multiple historic streets radiate from the square.",ميدان صلاح الدين عند سفح القلعة من أبرز الفضاءات العامة التاريخية في القاهرة. عُرف بميدان الرميلة وأدى وظائف متعددة عبر القرون: ملعب بولو، ومصلى لأعياد الفطر والأضحى، وقاعة استقبال للوفود الأجنبية في العهد المملوكي. يطل على باب العزب بقلعة صلاح الدين ومسجد السلطان حسن والجامع الرفاعي في مشهد معماري من الأجمل في القاهرة.,"Al-Qala'a Square (Salah al-Din Square), Al-Khalifa, Cairo Governorate",ميدان القلعة (صلاح الدين)، الخليفة، محافظة القاهرة,Courtyard,MuhammadAliDynasty,30.03131402,31.25707695,FALSE
ATTR-013,SITE-156,The Egyptian Museum,Sarcophagus of Kawit,"تابوت كاويت","This is the sarcophagus of Queen Kawit, the wife of King Nebhepetre Mentuhotep, the founder of the Middle Kingdom. The outer faces are beautifully decorated with daily life scenes, in one case depicting her drinking in front of a table laden with food, while one of the maids is hairdressing the queen's hair, and a maid pours her next drink. She holds a mirror in her free hand. In another scene, she is shown holding a lotus flower to her nose while dipping her finger in an unguent container held up by a servant. Her chest lies in front of her, the jewelry inside it depicted one on top of the other. Other scenes show cows being milked or calves breastfeeding. The combination of beauty, seen in the mirror, jewelry, and unguent, together with the lotus, the cows, and milk, together form very clear allusions to fertility, youth, rebirth, and Hathor, the goddess of love, beauty, fertility, music, and motherhood.

Middle Kingdom, 11th Dynasty, reign of Nebhepetre Mentuhotep (c.2055–2004 BC)

Medium: Limestone

Provenance: Deir al‑Bahari","تابوت للملكة كاويت، زوجة الملك منتوحتب الثانى (نب حبت رع)، مؤسس الدولة الوسطى، وقد نقشت على التابوت من الخارج مناظر للحياة اليومية، فعلى أحد الجوانب تظهر الملكة وهى تشرب وأمامها مائدة مملوءة بالطعام، بينما تصلح الخادمة باروكتها، وأمامها خادم آخر يصب لها مشروبها التالي، وتحمل الملكة في يدها الأخرى مرآة، وعلى الجانب الآخر، تصور الملكة وهي تحمل زهرة اللوتس أمام أنفها بينما تغمس إصبعها في وعاء للدهان تحمله خادمة، ويظهر أمامها صندوق المجوهرات الخاص بها يعلوه منظر المجوهرات الموجودة بداخله، كما نقشت بعض المناظر الأخرى مثل حلب الأبقار، والمزج بين الجمال يرى في تصوير المجوهرات والمرآة والدهان جنباً إلى جنب مع اللوتس والأبقار واللبن تشكل رمزية واضحة للخصوبة والشباب والولادة وحتحور ، إلهة الحب والجمال والخصوبة ، الموسيقى والأمومة.

الدولة الوسطى، الأسرة الحادية عشرة، عصر منتوحتب نب حبت رع، حوالي 2055 - 2004 ق.م.

مادة الصنع :الحجر الجيري

مكان العثور :الدير البحري",,,Tomb,MiddleKingdom,30.04848584,31.23361411,TRUE
ATTR-014,SITE-156,The Egyptian Museum,"Masks of Yuya and Thuya","قناعى يويا وتويا
","The mummies of Yuya and Thuya were discovered wearing these cartonnage masks covered with gold leaf. Yuya was the father of Queen Tiye, wife of king Amenhotep III, and husband of Thuya. Yuya came from the town of Akhmim, where he probably held estates and where he was a priest of the Egyptian god Min, the chief god of the area. Thuya held important religious titles, in addition to the title of the Royal Mother of the Great Wife of the King.

New Kingdom, 18th Dynasty, reign of Amenhotep III (c.1390–1352 BC)

Medium: Cartonnage, gold

Provenance: Luxor, Valley of the Kings, Tomb of Yuya and Tjuya (KV46)","تم اكتشاف مومياوات يويا وتويا مرتدية أقنعة الكارتوناج المغطاة بورق الذهب. كان يويا والد الملكة تي، زوجة الملك أمنحتب الثالث، وزوج تويا. جاء يويا من بلدة أخميم، حيث يعتقد انه كان ذو مكانة فيها وصاحب أملاك، كما كان كاهناً للإله المصري مين، الإله الرئيسي في المنطقة. حملت تويا ألقاب دينية مهمة، بالإضافة إلى لقب الأم الملكية لزوجة الملك العظيمة.

الدولة الحديثة، الأسرة الثامنة عشرة، عهد أمنحتب الثالث (1390-1352 قبل الميلاد)

مادة الصنع: كارتوناج، ذهب

مكان العثورعلى القطعة: الأقصر، وادي الملوك، مقبرة يويا وتويا (KV46)",,,Other,OldKingdom,30.04848584,31.23361411,FALSE
ATTR-015,SITE-137,Wadi El Rayan,Waterfalls of Wadi El Rayan, شلالات وادي الريان,"The waterfalls are located in the area connecting the two lakes in Wadi al-Qasimat, where the difference in elevation between the lakes is twenty meters. They consist of three natural waterfalls where water flows through thickets of papyrus plants. This area is of stunning beauty and offers scenic views suitable for recreational fishing—provided it does not harm the environmental balance of the region—as well as marine sports such as diving. Additionally, it accommodates leisure and tourism activities such as horse and camel riding, golf courses in the waterfall area, diverse vegetation, and unique geological formations.",تتمثل في المنطقة الواصلة بين البحيرتين وتقع بوادي القصيمات ويصل فرق المنسوب بين البحيرتين عشرون مترا وهي عبارة عن ثلاث شلالات طبيعية ينساب فيها الماء على ارتفاع أكثر من بين غابات من نبات البردي، وهي منطقة ذات جمال رائع ومناظر وتصلح لرياضة صيد الأسماك مع عدم الإضرار بالتوازن البيئي بالمنطقة وتصلح للرياضات البحرية مثل رياضة الغوص، إلى جانب الأنشطة الترفيهية والسياحية مثل ركوب الخيل والجمال وملاعب الجولف بمنطقة الشلالات والغطاء النباتي وبعض التراكيب الجيولوجية.,"Waterfalls between upper and lower lakes in the Wadi el-Raiyan (Wadi el-Rayan), Egypt",شلالات وادي الريان بين البحيرتين العليا والسفلى، مصر,Waterfall,Unknown,29.2545924,30.44093075,TRUE
ATTR-016,SITE-021,Castle Zaman,Slow Food Restaurant,مطعم الأكل البطيء,"A unique culinary experience focused on slow-cooked meals in clay pots over low heat for hours, blending traditional Sinaitic flavors with fresh meats and seafood.",تجربة طهي فريدة تعتمد على تحضير الطعام في أوانٍ فخارية على نار هادئة لعدة ساعات، حيث تمتزج النكهات السيناوية التقليدية مع اللحوم والسي فود الطازج.,"Upper floor, Castle Zaman - Taba-Nuweiba Road.",الطابق العلوي بقلعة زمان - طريق طابا نويبع.,dining,MiddleKingdom,29.22117013,34.74021339,TRUE
ATTR-017,SITE-021,Castle Zaman,Infinity Pool,حمام السباحة الصخري,"A rock-carved swimming pool featuring a breathtaking panoramic view of the Gulf of Aqaba, overlooking the borders of four countries.",حمام سباحة محفور وسط الصخور الجبلية، يتميز بإطلالة بانورامية ساحرة تطل على خليج العقبة وتسمح برؤية حدود أربع دول.,Castle Exterior Deck.,السطح الخارجي للقلعة.,Well,contemporary,29.22117013,34.74021339,TRUE
ATTR-018,SITE-021,Castle Zaman,Treasure Room,غرفة الكنز (بيت الهدايا),An underground dungeon-style vault showcasing a curated collection of authentic Egyptian handicrafts and unique artistic treasures.,سرداب تحت الأرض مصمم على طراز العصور الوسطى، يضم مجموعة مختارة من المشغولات اليدوية المصرية الأصلية والكنوز الفنية الفريدة.,The Dungeon (Below the main building).,القبو (أسفل المبنى الرئيسي).,Other,contemporary,29.22117013,34.74021339,FALSE
ATTR-019,SITE-021,Castle Zaman,Private Beach & Snorkeling,الشاطئ الخاص,"A pristine, secluded beach below the castle, featuring crystal-clear waters and rare coral reefs, perfect for swimming and snorkeling.",شاطئ بكر هادئ أسفل القلعة، يتميز بمياهه الكريستالية الصافية وشعابه المرجانية النادرة، مما يجعله مثالياً للسباحة والسنوركلينج.,Directly below the Castle cliff.,أسفل منحدر القلعة مباشرة.,nature,Unknown,29.22117013,34.74021339,TRUE
ATTR-020,SITE-032,Saint Eugenie Church,Classical Facade & Bell Tower,الواجهة الكلاسيكية وبرج الجرس,"A limestone and brick facade in Renaissance style, featuring a majestic bell tower dominating the skyline.","واجهة مبنية من الحجر الجيري والآجر، تتميز بطراز ""عصر النهضة"" وتضم برج جرس شاهق يزين سماء بورسعيد.",Main Entrance - El Gomhouria St.,المدخل الرئيسي - شارع الجمهورية,Church,Khedivial era,31.26063778,32.30632818,TRUE
ATTR-021,SITE-032,Saint Eugenie Church,The Main Marble Altar,المذبح الرئيسي الرخامي,"A grand altar made of premium marble, topped with an antique oil painting of Saint Eugénie.",مذبح مصنوع من أفخر أنواع الرخام يتوسط الكنيسة، وتعلوه لوحة زيتية أثرية للقديسة أوجيني.,The Sanctuary (Chancel),صدر الكنيسة (الداخل),Church,Khedivial era,31.26063778,32.30632818,TRUE
ATTR-023,SITE-032,Saint Eugenie Church,The Historic Pipe Organ,الأورغن الأنبوبي التاريخي,"A rare, century-old pipe organ that remains functional and is used for special ceremonies.",أورغن كنسي نادر يعود لقرن من الزمان، لا يزال يحتفظ برونقه ويستخدم في المناسبات الخاصة.,The Choir Loft,الشرفة العلوية الداخلية,Church,Khedivial era,31.26063778,32.30632818,TRUE
ATTR-024,SITE-061,Saint Shenouda Coptic Orthodox Church,Artistic Murals,الجداريات الفنية,"Massive murals covering the church walls, painted in vibrant colors depicting biblical stories in a modern artistic style.",لوحات جدارية ضخمة تغطي حوائط الكنيسة، مرسومة بألوان زاهية تحكي قصصاً من الكتاب المقدس بأسلوب فني حديث.,Internal Church Walls,الحوائط الداخلية للكنيسة,Church,Modern Era,27.2543509,33.81575359,TRUE
ATTR-025,SITE-061,Saint Shenouda Coptic Orthodox Church,Painted Ceilings & Domes,الأسقف والقباب الملونة,"High ceilings decorated with celestial paintings and intricate icons within the domes, creating a sense of vastness.",أسقف شاهقة مزينة برسومات سماوية وأيقونات دقيقة تتوسط القباب، مما يعطي شعوراً بالاتساع والرهبة.,Main Nave Ceiling & Domes,سقف صحن الكنيسة والقباب,Church,Modern Era,27.2543509,33.81575359,FALSE
ATTR-026,SITE-061,Saint Shenouda Coptic Orthodox Church,The Marble Iconostasis,حامل الأيقونات الرخامي,"A grand marble partition between the sanctuary and the nave, inlaid with gilded Coptic icons.",فاصل ضخم بين الهيكل وصحن الكنيسة، مصنوع من الرخام الفاخر ومطعم بالأيقونات القبطية المذهبة.,The Sanctuary Front,صدر الكنيسة (الشرق),Church,Modern Era,27.2543509,33.81575359,TRUE
ATTR-027,SITE-061,Saint Shenouda Coptic Orthodox Church,Outer Plaza & Twin Towers,الساحة الخارجية والبرجين,"A spacious, clean-cut plaza featuring two towering bell towers, serving as a landmark in the Dahar district.",ساحة واسعة بتصميم نظيف يضم برجين شاهقين يعلوهما الصلبان، وتعتبر واجهة حضارية لمنطقة الدهار.,Main Church Entrance,مدخل الكنيسة الرئيسي,Church,Modern Era,27.2543509,33.81575359,TRUE
ATTR-028,SITE-017,Soho Square,The Dancing Fountain,النافورة الراقصة,"A spectacular water and light show synchronized with international music, serving as the vibrant heart of the square.",عرض مائي ضوئي مذهل يتراقص على أنغام الموسيقى العالمية والمحلية، ويعتبر قلب الميدان النابض ليلاً.,Center of SOHO Square,وسط ساحة سوهو سكوير,Entertainment,Modern Era,27.96339495,34.3939509,TRUE
ATTR-029,SITE-017,Soho Square,Ice Skating Rink,ساحة التزلج على الجليد,"An indoor ice rink providing a unique winter experience in Sharm El Sheikh's warm climate, for all ages.",صالة تزلج مغطاة توفر تجربة شتوية فريدة وسط أجواء شرم الشيخ الحارة، مناسبة للأطفال والكبار.,Main Indoor Building,المبنى الداخلي الرئيسي,Entertainment,Modern Era,27.96339495,34.3939509,FALSE
ATTR-030,SITE-017,Soho Square,Culturama Show,كولتوراما (عرض الحضارة),A panoramic cinematic show on massive curved screens depicting Egypt's history from Pharaonic to modern times.,عرض بانورامي على شاشات عملاقة يحكي تاريخ مصر من العصور الفرعونية حتى العصر الحديث بتقنيات متطورة.,Upper Floor - Cinema Building,الطابق العلوي - مبنى السينما,Entertainment,Modern Era,27.96339495,34.3939509,TRUE
ATTR-031,SITE-017,Soho Square,The Ice Bar,آيس بار (البار الجليدي),"An extraordinary venue built entirely of natural ice, kept at -6°C, serving drinks in glasses made of ice.",مكان استثنائي مصمم بالكامل من الجليد الطبيعي، حيث تصل درجة الحرارة لـ -6 مئوية، ويقدم مشروبات في أكواب جليدية.,Next to International Restaurants,بجوار منطقة المطاعم العالمية,Entertainment,Modern Era,27.96339495,34.3939509,TRUE
ATTR-032,SITE-022,Wishwashi Canyon,The Green Hidden Lake,بحيرة الوشواشي الخضراء,"A hidden lake nestled between granite mountains, formed by rainwater and known for its stunning turquoise-green color.",بحيرة مخفية بين جبال الجرانيت، تكونت من مياه الأمطار وتتميز بلونها الأخضر الفيروزي الساحر وهدوئها التام.,Heart of the valley (90-min trek),قلب الوادي (بعد المشي 90 دقيقة),nature,Unknown,29.16223567,34.64514703,TRUE
ATTR-033,SITE-022,Wishwashi Canyon,Granite Canyon Trek,ممرات الجرانيت الضيقة,"Narrow paths through colorful granite mountains, requiring trekking and hiking to reach the heart of the valley.",ممرات ضيقة وسط جبال الجرانيت الملونة تتطلب التسلق والمشي لمسافات طويلة للوصول إلى قلب الوادي.,Trekking path to the lake,المسار المؤدي للبحيرة,nature,Unknown,29.16223567,34.64514703,TRUE
ATTR-034,SITE-022,Wishwashi Canyon,Natural Cliff Jumping,منصات القفز الصخرية,"A thrilling cliff-jumping experience from the surrounding rocks into the deep waters, the most popular adventure activity.",تجربة قفز حر من فوق الصخور المحيطة بالبحيرة إلى المياه العميقة، وهي أشهر نشاط يقوم به المغامرون هناك.,Rocky edges of the lake,الحواف الصخرية للبحيرة,nature,Unknown,29.16223567,34.64514703,FALSE
ATTR-035,SITE-022,Wishwashi Canyon,Fresh Water Springs,عيون المياه العذبة,"Natural rock crevices where fresh rainwater gathers, serving as a vital natural source of water in the valley.",فتحات صخرية طبيعية تتجمع فيها مياه الأمطار العذبة والنقية، وتعتبر مصدراً أساسياً للحياة في الوادي.,Surrounding mountain cracks,شقوق الجبال المحيطة,nature,Unknown,29.16223567,34.64514703,FALSE
