Site ID,Parent City ID,City Name (English),Name (English),Name (Localized),Description (English),Description (Localized),Address (English),Address (Localized),Status,Type,Latitude,Longitude,Entry Fee 'NULLABLE',Entry Fee Note (English) 'NULLABLE',Entry Fee Note (Localized) 'NULLABLE',Is Free?,Estimated Duration Minutes,Website URL 'NULLABLE',Contact Phone 'NULLABLE',Is Featured?,Is Hidden Gem?,Facilities (comma-separated),By
SITE-011,CITY-008,Sinai ,Blue Lagoon,البلو لاجون,"A piece of heaven on Sinai's land, this shallow coastal lagoon features calm turquoise waters with no waves, making it a historic destination for those seeking solitude and primitive camping away from technology. You will experience absolute relaxation under the stars and enjoy kitesurfing in ideal conditions found nowhere else in the world. Tip: The area is very primitive with no electricity or mobile signal; be sure to bring a power bank, a flashlight, and enough food and water supplies before leaving Dahab.","قطعة من الجنة على أرض سيناء، وهي بحيرة شاطئية ضحلة تمتاز بمياه فيروزية هادئة جداً لا توجد بها أمواج، مما يجعلها مكاناً تاريخياً لهواة العزلة والتخييم البدائي بعيداً عن صخب التكنولوجيا. ستعيش هناك تجربة الاسترخاء المطلق تحت النجوم، والاستمتاع بممارسة رياضة ركوب الأمواج (Kitesurfing) في أجواء مثالية لا تتوفر في أي مكان آخر بالعالم. نصيحة: المكان بدائي جداً ولا توجد به كهرباء أو شبكات اتصال، لذا احرص على إحضار ""باور بانك"" وكشاف إضاءة ومؤن كافية من الطعام والماء قبل التحرك من دهب.","Ras Abu Galum Area, North of Blue Hole, accessible by boat or hiking, Dahab.",منطقة رأس أبو جالوم - شمال البلو هول - الوصول عبر المركب أو الهايكنج - دهب - جنوب سيناء.,Active,Natural,28.70961119,34.57070601,Null,,,TRUE,180,Null,Null,FALSE,TRUE,,Yara
SITE-012,CITY-008,Sinai ,Abu Galum Reserve,محمية أبو جالوم,"A unique natural reserve on the Gulf of Aqaba, blending majestic mountain landscapes with pristine marine environments. It is the ancestral home of Bedouin tribes who have preserved their heritage for millennia. The experience begins with a boat trip or a camel trek through rugged mountain paths to reach shores rich in rare coral reefs and colorful marine life. Tip: It is best to arrange your trip with a local Bedouin guide who knows the area well, and ensure you wear comfortable clothing and hiking shoes to avoid exhaustion.",محمية طبيعية فريدة تقع على خليج العقبة، وتجمع بين البيئة الجبلية المهيبة والبيئة البحرية البكر، وتعتبر موطناً أصلياً للعديد من القبائل البدوية التي حافظت على تراثها لآلاف السنين. التجربة هنا تبدأ برحلة بحرية أو رحلة على ظهر الجمال عبر المدقات الجبلية الوعرة لتصل إلى شواطئ غنية بالشعاب المرجانية النادرة والحياة البحرية الملونة. نصيحة: يفضل ترتيب الرحلة مع دليل بدوي محلي خبير بالمنطقة، واحرص على ارتداء ملابس مريحة وأحذية مخصصة للمشي لمسافات طويلة (Hiking) لتجنب الإجهاد.,"East Coast of Sinai, between Dahab and Nuweiba, via Blue Hole path, South Sinai.",الساحل الشرقي لسيناء - بين دهب ونويبع - الوصول عبر طريق البلو هول - جنوب سيناء.,Active,Natural,28.73235272,34.62429821,"5$,25",,,FALSE,240,https://www.eeaa.gov.eg/Topics/85/36/65/Details,693660559,FALSE,TRUE,,Yara
SITE-013,CITY-008,Sinai ,Three Pools,الثري بولز,"A famous diving and snorkeling spot south of Dahab, consisting of three natural sea pools connected in the heart of the Red Sea. These pools were formed by natural elements to become a global tourist attraction. The site is perfect for families and beginners to enjoy watching colorful fish and corals in shallow waters that are completely safe for underwater photography. Tip: It is recommended to visit early in the morning (around 8 AM) to avoid the large tourist crowds and to secure a comfortable spot in the Bedouin cafes directly overlooking the beach.","منطقة غوص وسنوركلينج شهيرة في جنوب دهب، تتكون من ثلاث حمامات سباحة طبيعية متصلة ببعضها في قلب البحر، وقد تشكلت بفعل العوامل الطبيعية لتصبح مزاراً سياحياً عالمياً. المكان مثالي جداً للعائلات والمبتدئين للاستمتاع بمشاهدة الأسماك الملونة والشعاب المرجانية في مياه ضحلة وآمنة تماماً للتصوير تحت الماء. نصيحة: يفضل زيارة المكان في وقت مبكر من الصباح (حوالي الساعة 8 صباحاً) لتجنب الازدحام السياحي الكبير، ولتتمكن من حجز مكان مريح في ""الكافيهات"" البدوية المطلة على الشاطئ مباشرة.","Al-Qantara Area, Southern Dahab (El Masbat Area), Dahab City, South Sinai.",منطقة القنطرة - جنوب مدينة دهب (منطقة المسبط) - دهب - جنوب سيناء.,Active,Natural,28.43571672,34.45740976,Null,,,TRUE,120,Null,Null,FALSE,FALSE,,Yara
SITE-014,CITY-008,Sinai ,Serabit el-Khadim,معبد سرابيط الخادم,"Located atop a rugged mountain, this is the only temple built by Ancient Egyptians (Middle and New Kingdoms) in the heart of Sinai to honor goddess Hathor, ""Lady of Turquoise,"" and protect nearby turquoise mines. You will experience a true adventure climbing the mountain to reach the temple, where you'll be amazed by the stelae and hieroglyphic inscriptions detailing ancient mining expeditions. Tip: The trek is strenuous and requires high physical fitness; ensure you bring plenty of drinking water and wear a hat to protect yourself from the strong sun during the ascent.","يقع فوق قمة جبلية وعرة، وهو المعبد الوحيد الذي بناه المصريون القدماء (عصر الدولة الوسطى والحديثة) في قلب سيناء لتكريم الآلهة حتحور ""سيدة الفيروز"" وحماية مناجم الفيروز القريبة. ستعيش مغامرة حقيقية في تسلق الجبل للوصول للمعبد، حيث ستنبهر باللوحات التذكارية والنقوش الهيروغليفية التي تحكي تاريخ بعثات التعدين المصرية القديمة. نصيحة: الرحلة شاقة وتتطلب لياقة بدنية عالية وقدرة على التسلق، لذا تأكد من إحضار كميات كبيرة من المياه الصالحة للشرب وارتداء قبعة للحماية من أشعة الشمس القوية أثناء الصعود.","Summit of Serabit el-Khadim Mountain, Abu Zenima Area, Suez-Tor Road, South Sinai.",قمة جبل سرابيط الخادم - منطقة أبو زنيمة - طريق السويس/الطور - جنوب سيناء.,Active,Historical,29.14463498,33.48760439,Null,,,TRUE,180,https://egymonuments.gov.eg/,Null,FALSE,FALSE,,Yara
SITE-015,CITY-008,Sinai ,Shark's Bay,خليج القرش,"A vibrant tourist area in Sharm El Sheikh, historically known as a fishing hub before transforming into one of the city's most upscale bays. Its name reportedly comes from the presence of sharks in its deep waters in the past. The bay offers a complete recreational experience where you can enjoy various water sports or relax in international restaurants overlooking the enchanting Tiran Island. Tip: The location is perfect for a romantic or family dinner at sunset; be sure to book a front-row table at one of the restaurants for the best possible view of the sea and the island.","منطقة سياحية حيوية في شرم الشيخ، عُرفت تاريخياً كمركز لتجمع الصيادين قبل أن تتحول لواحد من أرقى خلجان المدينة، ويقال إن تسميتها تعود لوجود أسماك القرش قديماً في مياهها العميقة. يوفر الخليج تجربة ترفيهية متكاملة حيث يمكنك ممارسة الرياضات المائية المختلفة أو الاسترخاء في المطاعم العالمية المطلة على جزيرة تيران الساحرة. نصيحة: المكان مثالي جداً لتناول عشاء رومانسي أو عائلي وقت الغروب، واحرص على حجز ""طاولة"" أمامية في أحد المطاعم للحصول على أفضل إطلالة ممكنة على البحر والجزيرة.","Shark's Bay Area, Sheikh Zayed Road, facing Tiran Island, Sharm El Sheikh.","منطقة ""شاركس باي"" - طريق الشيخ زايد - أمام جزيرة تيران - شرم الشيخ - جنوب سيناء.",Active,Beach,27.96450968,34.39984263,Null,,,TRUE,120,Null,Null,FALSE,FALSE,,Yara
SITE-016,CITY-008,Sinai ,Naama Bay,خليج نعمة,"Known as the ""beating heart"" of Sharm El Sheikh, it was the first tourist area developed in the city and has hosted many important international conferences. You will enjoy walking through the famous promenade amidst lights and music, shopping in bazaars for handmade products, and relaxing on its smooth sandy beaches. Tip: If you seek tranquility and privacy, visit the beach in the early morning; if you love bustle and vibrant life, the ""evening"" is the best time to enjoy the atmosphere.","يُعرف بـ ""القلب النابض"" لشرم الشيخ، وهو أول منطقة سياحية تم تطويرها في المدينة، وشهدت العديد من المؤتمرات الدولية الهامة التي غيرت وجه السياحة في مصر. ستستمتع بتجربة السير في الممشى السياحي الشهير وسط الأضواء والموسيقى، والتسوق في البازارات التي تعرض المنتجات اليدوية، بالإضافة إلى الاستمتاع بشواطئه الرملية الممهدة. نصيحة: إذا كنت تبحث عن الهدوء والخصوصية، يفضل زيارة الشاطئ في الصباح الباكر، أما إذا كنت من محبي الصخب والحياة الحيوية، فإن وقت ""المساء"" هو الأنسب للاستمتاع بالأجواء.","Downtown Sharm El Sheikh, , South Sinai.",وسط مدينة شرم الشيخ  - شرم الشيخ - جنوب سيناء.,Active,Beach,27.91495486,34.32794256,Null,,,TRUE,120,Null,Null,FALSE,FALSE,,Yara
SITE-017,CITY-008,Sinai ,Soho Square,سوهو سكوير,"The most upscale entertainment complex in Sinai, designed after major European squares to become a global attraction in Sharm El Sheikh, featuring artistic statues and stunning walkways. You will experience luxury, including watching ""Dancing Fountain"" shows, ice skating, or visiting the ""Culturama"" cinema showcasing Egypt's history. Tip: Be sure to be at the square before 8 PM to catch the main fountain show, and wear photogenic clothes because the entire place serves as a natural ""photo session"" spot.","أرقى مجمع ترفيهي في سيناء، صُمم على طراز الميادين الأوروبية الكبرى ليصبح مركزاً للجذب السياحي العالمي في شرم الشيخ، ويضم تماثيل فنية وممرات مشي مبهرة. ستعيش تجربة فاخرة تشمل مشاهدة عروض ""النافورة الراقصة""، والتزلج على الجليد في الحلبة المخصصة، أو تجربة السينما التي تعرض تاريخ مصر ""كولتوراما"". نصيحة: احرص على التواجد في الميدان قبل الساعة 8 مساءً لتتمكن من مشاهدة عرض النافورة الراقصة الرئيسي، وارتدِ ملابس مناسبة للتصوير لأن المكان بالكامل يعتبر ""فوتوسيشن"" طبيعي.","Soho Square, White Knight Bay Area, Airport Road, Sharm El Sheikh, South Sinai.",ميدان سوهو - منطقة خليج وايت نايت (White Knight) - طريق المطار - شرم الشيخ.,Active,Entertainment,27.96339495,34.3939509,Null,,,TRUE,90,https://www.soho-sharm.com/,693602500,FALSE,FALSE,,Yara
SITE-018,CITY-008,Sinai ,Al Sahaba Mosque,مسجد الصحابة,"A modern architectural icon in the heart of the Old Market, built in Ottoman style with unique artistic touches, making it one of the most beautiful 21st-century mosques in Egypt and the world. The experience is not limited to prayer; you can wander the outer courtyard to take photos of the towering minarets reaching Sharm's sky and visit the Islamic library inside. Tip: The mosque has a dress code for tourists; long robes (Abayas) are provided for women at the entrance. Be sure to respect the sanctity of the place while visiting and taking photos.","أيقونة معمارية حديثة في قلب السوق القديم، بُني على الطراز العثماني بلمسات فنية فريدة تجعله واحداً من أجمل مساجد القرن الواحد والعشرين في مصر والعالم. التجربة هنا لا تقتصر على الصلاة، بل يمكنك التجول في الساحة الخارجية لالتقاط صور تذكارية للمآذن الشاهقة التي تعانق سماء شرم الشيخ وزيارة المكتبة الإسلامية بداخله. نصيحة: المسجد له ""كود ملابس"" خاص للزوار السياح، حيث يتم توفير أردية طويلة (عباءات) للسيدات عند المدخل، لذا احرص على احترام قدسية المكان أثناء الزيارة والتقاط الصور.","Old Market Area, Southern Entrance of Sharm El Sheikh, South Sinai.",منطقة السوق القديم - مدخل شرم الشيخ الجنوبي - شرم الشيخ - جنوب سيناء.,Active,Religious,27.8669186,34.29516997,Null,,,TRUE,45,Null,Null,FALSE,FALSE,,Yara
SITE-019,CITY-008,Sinai ,Hammam Faroun,حمام فرعون,"A natural sulfur spring area flowing from a mountain cave with temperatures reaching 70°C, historically renowned as a healing site since ancient times for treating rheumatic diseases. You will experience a unique natural ""sauna"" inside the cave while inhaling sulfur steam amidst a stunning view of the Gulf of Suez. Tip: Do not approach the water source directly due to extreme heat, and ensure you drink plenty of water before and after the session to avoid dehydration from the thick steam.","منطقة عيون كبريتية طبيعية تتدفق من كهف جبلي وتصل درجة حرارتها لـ 70 مئوية، وترجع شهرتها التاريخية لكونها موقعاً للاستشفاء منذ العصور القديمة لعلاج الأمراض الروماتيزمية. ستخوض تجربة فريدة بالدخول للكهف الذي يعمل كـ ""سونا"" طبيعية واستنشاق بخار المياه الكبريتية وسط إطلالة ساحرة على خليج السويس. نصيحة: لا تقترب من منبع المياه مباشرة لشدة حرارتها، واحرص على شرب كميات كبيرة من الماء قبل وبعد الجلسة لتجنب الجفاف نتيجة البخار الكثيف.","Abu Zenima, South Sinai Governorate 8722001",طريق السويس/الطور الساحلي - مدينة رأس سدر.,Active,Therapeutic,29.19819418,32.96538949,Null,,,TRUE,90,Null,Null,FALSE,FALSE,,Yara
SITE-020,CITY-008,Sinai ,Wadi Genay,وادي جني,"A stunning desert oasis tucked away between the majestic granite mountains of Dahab. This valley is a paradise for adventure seekers, offering some of the best rock climbing spots in Sinai and thrilling 4x4 safari tracks. You will experience the true Bedouin life, sitting under palm trees and sipping traditional tea brewed over a wood fire. Tip: If you’re a fan of hiking or climbing, don't forget to wear professional shoes and bring a lightweight camera; the contrast between the golden mountains and the green palms at sunset is a scene you won't want to miss.","واحة صحراوية مخفية بين جبال الجرانيت المهيبة في دهب، وتعتبر جنة لهواة المغامرة والهدوء معاً. يشتهر الوادي بكونه أحد أفضل أماكن تسلق الصخور في سيناء، بالإضافة إلى مسارات سفاري ممتعة بسيارات الدفع الرباعي. ستعيش هناك تجربة الحياة البدوية الحقيقية، حيث يمكنك الجلوس تحت أشجار النخيل وتناول الشاي البدوي الأصيل المطهو على الحطب وسط سكون الصحراء. نصيحة: إذا كنت من محبي ""الهايكنج"" أو التسلق، احرص على ارتداء حذاء رياضي مخصص، ولا تنسَ إحضار كاميرا خفيفة؛ فالتباين بين لون الجبال الذهبية وخضرة النخيل وقت الغروب مشهد لا يُعوض.", South Sinai Governorate 8771001,وادي قني - جنوب مدينة دهب - جنوب سيناء.,Active,Natural,28.43790246,34.45895612,Null,,,TRUE,120,Null,Null,FALSE,FALSE,,Yara
SITE-021,CITY-008,Sinai ,Castle Zaman,قلعة زمان,"A unique tourist landmark built entirely of natural stone in the style of ancient fortresses atop a high plateau, reviving eco-friendly and traditional architecture in Nuweiba. You will experience royal relaxation by swimming in the stone pool and dining on ""Slow Food"" cooked in underground clay pots for hours. Tip: The castle follows a strict peace policy (no children under a certain age or loud noises); advance booking is mandatory as daily visitor numbers are very limited to ensure privacy.","صرح سياحي فريد بُني بالكامل من الحجارة الطبيعية على طراز القلاع القديمة فوق هضبة مرتفعة، ليعيد إحياء فن العمارة البيئية والتراثية في منطقة نويبع. ستعيش تجربة استرخاء ملكية حيث يمكنك السباحة في المسبح الحجري وتناول وجبات ""البطيء"" (Slow Food) المطهوة في أواني فخارية تحت الأرض لساعات طويلة. نصيحة: القلعة تتبع سياسة الهدوء التام (لا يُسمح بالأطفال دون سن معينة أو الضوضاء)، ويجب الحجز مسبقاً قبل الذهاب لأن عدد الزوار يومياً محدود جداً لضمان الخصوصية.","Taba-Nuweiba Coastal Road City, South Sinai.",طريق طابا/نويبع الساحلي - جنوب سيناء.,Active,Entertainment,29.22117013,34.74021339,Null,,,TRUE,120,https://www.castlezaman.com/,1222140591,FALSE,TRUE,,Yara
SITE-022,CITY-008,Sinai ,Wishwashi Canyon,وادي الوشواشي,"A hidden lake formed by rainwater between granite mountains in Nuweiba, considered one of the ""hidden gems"" unknown to many tourists, with water that remains cool year-round. Your experience begins with a thrilling mountain climb ending in a jump into clear freshwater surrounded by towering mountains in a majestic scene. Tip: Reaching the lake requires significant physical effort and rock climbing; wear sturdy mountain boots and bring a light backpack with swimwear and towels.","بحيرة خفية تكونت من مياه الأمطار بين جبال الجرانيت في نويبع، وتعتبر واحدة من ""الكنوز المخفية"" التي لا يعرفها الكثير من السياح، حيث تظل مياهه باردة طوال العام. ستبدأ تجربتك برحلة تسلق جبلية مثيرة تنتهي بالقفز في المياه العذبة الصافية المحاطة بجبال شاهقة من كل اتجاه في مشهد مهيب. نصيحة: يتطلب الوصول للبحيرة مجهوداً بدنياً كبيراً وتسلقاً للصخور، لذا ارتدِ أحذية جبلية قوية واحضر معك ""شنطة ظهر"" خفيفة تحتوي على ملابس سباحة ومناشف.","Taba, South Sinai Governorate 8783015",محمية أبو جالوم - منطقة وادي الملح ,Active,Natural,29.16223567,34.64514703,NULL,,,TRUE,180,Null,Null,FALSE,TRUE,,Yara
