Transport ID,Parent Site ID,Site Name,Transport Name (English),Transport Name (Localized),Description (English) 'NULLABLE',Description (Localized) 'NULLABLE',Transport Type,Address / Location Info (English) 'NULLABLE',Address / Location Info (Localized) 'NULLABLE',Latitude,Longitude,Distance to Site (Km),Is Operational?,Has Accessibility?,Operating Hours 'NULLABLE'
TRANS-011,SITE-002,Saint Catherine's Monastery,St. Catherine Office,مكتب سانت كاترين,"From the office, take a local taxi to reach the Monastery parking (the hiking starting point).",من المكتب، يتم استقلال تاكسي محلي للوصول لباركينج الدير (نقطة المشي).,Taxi,"St. Catherine Town Center, Sinai.",مركز مدينة سانت كاترين، سيناء.,33.945,28.556,3.5,TRUE,FALSE,06:00-20:00
TRANS-012,SITE-043,El Lesan Area,Ras El Bar Station,موقف رأس البر,"From the station, take a ""Tuk-tuk"" or ""Taftaf"" to reach the end of the El Lesan area.","من الموقف، استقلال ""توكتوك"" أو ""طفطف"" للوصول لمنطقة اللسان.",Bus,"El Nile St, Entrance of Ras El Bar.",شارع النيل، مدخل مدينة رأس البر.,31.5152,31.8155,4,TRUE,FALSE,06:00-02:00
TRANS-013,,Cairo Citadel,El-Malek El-Saleh Metro Station,محطة مترو الملك الصالح,"Take the metro to El-Malek El-Saleh Station (Line 1), then take a short taxi or microbus to the Citadel entrance at Salah Salem Street.",خذ المترو إلى محطة الملك الصالح (الخط الأول)، ثم استقل تاكسي أو ميكروباص قصير إلى مدخل القلعة في شارع صلاح سالم.,Metro,"El-Malek El-Saleh, Cairo (Line 1 – Blue Line)",شارع الملك الصالح، القاهرة (الخط الأول),30.01771665,31.23122666,1.4,TRUE,FALSE,05:00-01:00
TRANS-014,,Cairo Citadel,El Sayeda Aisha Bus Station,موقف السيدة عائشة,The main bus/microbus hub near the Citadel. Many CTA bus and microbus lines stop here. Head north on Salah Salem Street toward the Citadel gate.,موقف الحافلات والميكروباصات الرئيسي بالقرب من القلعة. تتوقف هنا خطوط عديدة من الحافلات والميكروباصات. اتجه شمالاً على شارع صلاح سالم نحو بوابة القلعة.,Bus,"Salah Salem Street, El Sayeda Aisha Square, Cairo",ميدان السيدة عائشة، شارع صلاح سالم، القاهرة,30.0242453,31.25832839,0.7,TRUE,FALSE,
TRANS-015,,Al-Mu'izz Street,Attaba Metro Station,محطة مترو العتبة,Nearest metro station to Al-Muizz Street. Exit toward Al-Azhar Street and walk or take a short taxi east into the heart of Islamic Cairo.,أقرب محطة مترو لشارع المعز. اخرج باتجاه شارع الأزهر وامش أو استقل تاكسي قصير شرقاً نحو قلب القاهرة الإسلامية.,Metro,"Attaba Square, Downtown Cairo (Lines 2 & 3 interchange)",ميدان العتبة، وسط القاهرة (تقاطع الخطين 2 و3),30.05253171,31.24676008,0.9,TRUE,FALSE,05:00-01:00
TRANS-016,,Al-Mu'izz Street,Bab Al-Shaaria Metro Station,محطة مترو باب الشعرية,Closest metro station to the northern end of Al-Muizz Street (near Bab Al-Futuh gate). Exit and walk a few minutes south to enter the street directly.,أقرب محطة مترو للطرف الشمالي من شارع المعز (بالقرب من باب الفتوح). اخرج وامش جنوباً بضع دقائق لتدخل الشارع مباشرة.,Metro,"Bab Al-Shaaria, Cairo (Line 3 – Green Line)",باب الشعرية، القاهرة (الخط الثالث),30.05433899,31.25590918,0.5,TRUE,TRUE,05:00-01:00
TRANS-017,,The Egyptian Museum,Sadat Metro Station,محطة مترو السادات,"The closest metro station, located directly beneath Tahrir Square. Exit onto Tahrir Square and the museum entrance is a 2-minute walk north.",أقرب محطة مترو، وتقع مباشرة أسفل ميدان التحرير. اخرج إلى الميدان ومدخل المتحف على بُعد دقيقتين سيراً شمالاً.,Metro,"Tahrir Square, Cairo (Lines 1 & 2 interchange)",ميدان التحرير، القاهرة (تقاطع الخطين 1 و2),30.04410557,31.23437958,0.2,TRUE,FALSE,05:00-01:00
TRANS-018,,The Egyptian Museum,Tahrir Square Bus Stop,موقف حافلات ميدان التحرير,Major CTA bus hub adjacent to the museum on Tahrir Square. Served by multiple Cairo Transit Authority bus lines from across the city.,مركز حافلات هيئة النقل العام الرئيسي المجاور للمتحف في ميدان التحرير. تخدمه خطوط حافلات متعددة من جميع أنحاء المدينة.,Bus,"Tahrir Square, Qasr El-Nil, Cairo",ميدان التحرير، قصر النيل، القاهرة,30.04443025,31.23584187,0.1,TRUE,FALSE,
TRANS-019,,Wadi El Rayan,Fayoum Central Bus Station,محطة أتوبيس الفيوم المركزية,"Take a public bus or microbus from Giza Station or Ahmed Helmi terminal to Fayoum City. From Fayoum city center, hire a taxi or microbus to Wadi El Rayan (approx. 40 km further southwest).",خذ حافلة أو ميكروباصاً من محطة الجيزة أو محطة أحمد حلمي إلى مدينة الفيوم. من وسط المدينة، استأجر تاكسي أو ميكروباص للوصول إلى وادي الريان (حوالي 40 كم جنوب غرب).,Bus,"El Hawatim St, Fayoum City, Fayoum Governorate",شارع الحواتم، مدينة الفيوم، محافظة الفيوم,29.30270088,30.839474,42,TRUE,FALSE,
TRANS-020,,Wadi El Rayan,Giza Microbus Terminal (to Fayoum),موقف ميكروباصات الجيزة (إلى الفيوم),"The main departure point in Greater Cairo for microbuses and service taxis heading to Fayoum. Located near Giza metro station. From Fayoum, take a local taxi to reach Wadi El Rayan.",نقطة المغادرة الرئيسية في القاهرة الكبرى للميكروباصات وسيارات الأجرة المتجهة إلى الفيوم. تقع بالقرب من محطة مترو الجيزة. من الفيوم، خذ تاكسياً محلياً للوصول إلى وادي الريان.,Bus,"Near Giza Metro Station, Giza Square, Giza",بالقرب من محطة مترو الجيزة، ميدان الجيزة، الجيزة,30.0153333,31.21218674,110,TRUE,FALSE,
TRANS-021,SITE-221,Tanta Museum,Tanta Railway Station,محطة قطارات طنطا,"Main railway hub for the Delta region with trains to Cairo, Alexandria, and other cities",المحور الرئيسي للسكك الحديدية في الدلتا مع قطارات إلى القاهرة والإسكندرية والمدن الأخرى,Train,"Tanta Qism 2, Tanta",طنطا قسم 2، طنطا,30.7816,30.9946,1.2,TRUE,TRUE,00:00-00:00
TRANS-022,SITE-221,Tanta Museum,Tanta Bus Station,محطة أتوبيسات طنطا,Local and intercity bus services,خدمات الحافلات المحلية وبين المدن,Bus,"Maher, Qism Shebeen El-Kom",ماهر، قسم شبين الكوم,30.5608,31.0106,1.5,TRUE,FALSE,00:00-00:00
TRANS-023,SITE-244,Rommel Cave Museum,West Delta Bus Station,محطة أتوبيس غرب الدلتا,"Main bus terminal with connections to Cairo, Alexandria, and Siwa",محطة الحافلات الرئيسية مع وصلات إلى القاهرة والإسكندرية وسيوة,Bus,"Alexandria - Marsa Matrouh Rd, Mersa Matruh",طريق الإسكندرية - مرسى مطروح، مرسى مطروح,31.3384,27.2509,3,TRUE,FALSE,06:00-15:00
TRANS-024,SITE-244,Rommel Cave Museum,Marsa Matrouh Central Bus Station,محطة حافلات مطروح المركزية,Public transportation hub with microbus and bus services,مركز النقل العام مع خدمات الميكروباص والحافلات,Bus,Alexandria - Marsa Matrouh Rd,طريق الإسكندرية - مرسى مطروح,31.3388,27.2502,2.8,TRUE,FALSE,00:00-00:00
TRANS-025,SITE-249,Matrouh Archaeology Museum,West Delta Bus Station,محطة أتوبيس غرب الدلتا,"Main bus terminal with connections to Cairo, Alexandria, and Siwa",محطة الحافلات الرئيسية مع وصلات إلى القاهرة والإسكندرية وسيوة,Bus,"Alexandria - Marsa Matrouh Rd, Mersa Matruh",طريق الإسكندرية - مرسى مطروح، مرسى مطروح,31.3384,27.2509,1.8,TRUE,FALSE,06:00-15:00
TRANS-026,SITE-249,Matrouh Archaeology Museum,Marsa Matrouh Central Bus Station,محطة حافلات مطروح المركزية,Public transportation hub with microbus and bus services,مركز النقل العام مع خدمات الميكروباص والحافلات,Bus,Alexandria - Marsa Matrouh Rd,طريق الإسكندرية - مرسى مطروح,31.3388,27.2502,1.5,TRUE,FALSE,00:00-00:00
TRANS-027,SITE-263,Nadura Temple ,El Kharga Airport,مطار الخارجة,Closest major transport hub for Kharga Oasis; taxi needed for the temple hill.,أقرب محور نقل رئيسي لواحة الخارجة؛ ثم تاكسي إلى الهضبة الخاصة بالمعبد.,Airplane,"El Kharga, New Valley, Egypt",الخارجة، الوادي الجديد، مصر,25.4736004,30.5907001,2.7,TRUE,FALSE,00:00-00:00
TRANS-028,SITE-263,Nadura Temple ,Al Kharga Bus Station,محطة حافلات الخارجة,Good land access point for Kharga city; then continue locally to Nadura.,نقطة وصول برية جيدة لمدينة الخارجة؛ ثم انتقال محلي إلى الناضورة.,Bus,"Al Kharga, New Valley, Egypt",الخارجة، الوادي الجديد، مصر,25.450561,30.545251,2.8,TRUE,FALSE,
TRANS-029,SITE-250,Shali Fortress,Siwa Bus Station,محطة حافلات سيوة,Very close to the old town; usually a short walk or quick local ride.,قريبة جدًا من البلدة القديمة؛ غالبًا مشي قصير أو انتقال محلي سريع.,Bus,"Shali Square, Siwa, Egypt",ميدان شالي، سيوة، مصر,29.2008,25.518,0.1,TRUE,FALSE,
TRANS-030,SITE-250,Shali Fortress,Siwa Oasis North Airport,مطار سيوة واحة الشمال,Regional airport for Siwa; continue by taxi to the fortress.,المطار الإقليمي لسيوة؛ ثم تاكسي إلى القلعة.,Airplane,"Siwa, Egypt",سيوة، مصر,29.345621,25.505762,16.1,TRUE,FALSE,
TRANS-035,SITE-313,Greco-Roman Museum,Raml Station Tram Stop,محطة الرمل,Exit Raml Station and walk west along Fouad Street for about 5 minutes to reach the museum entrance.,اخرج من محطة الرمل وامشِ غرباً على شارع فؤاد لمدة 5 دقائق تقريباً حتى تصل إلى مدخل المتحف.,Tram,"Raml Station Square, Alexandria",ميدان محطة الرمل، الإسكندرية,31.20155,29.90089,0.4,TRUE,TRUE,05:00-01:00
TRANS-036,SITE-314,Qaitbay Citadel,Anfushi Bus Stop,موقف أنفوشي,"From Anfushi stop, walk north along the corniche for about 10 minutes until you reach the citadel entrance on the eastern harbor.",من موقف أنفوشي، امشِ شمالاً على الكورنيش لمدة 10 دقائق حتى تصل إلى مدخل القلعة على الميناء الشرقي.,Bus,"Ras El Tin Street, Anfoushi, Alexandria",شارع رأس التين، الأنفوشي، الإسكندرية,31.2085,29.8821,1.1,TRUE,FALSE,06:00-23:00
TRANS-037,SITE-315,Royal Jewelry Museum Alexandria,Zizinia Bus Stop,موقف زيزينيا,Alight at Zizinia stop and walk 5 minutes toward Ahmed Orabi Square to find the museum inside the historic villa.,انزل عند موقف زيزينيا وامشِ 5 دقائق باتجاه ميدان أحمد عرابي للوصول إلى المتحف داخل الفيلا التاريخية.,Bus,"Abu Qir Road, Zizinia, Alexandria",طريق أبو قير، زيزينيا، الإسكندرية,31.24032,29.96345,0.5,TRUE,TRUE,06:00-23:00
TRANS-038,SITE-316,Alexandria Bibliotheca,Shatby Tram Stop,محطة ترام الشاطبي,"From Shatby stop, walk west along the corniche for about 7 minutes to reach the main entrance of the Bibliotheca Alexandrina.",من محطة الشاطبي، امشِ غرباً على الكورنيش لمدة 7 دقائق للوصول إلى المدخل الرئيسي لمكتبة الإسكندرية.,Tram,"Port Said Street, Shatby, Alexandria",شارع بورسعيد، الشاطبي، الإسكندرية,31.20567,29.91456,0.6,TRUE,TRUE,05:00-01:00
TRANS-039,SITE-317,Alexandria National Museum,Raml Station Tram Stop,محطة الرمل,"From Raml Station, walk south along Fouad Street for about 5 minutes to reach the museum located in the historic Italian consulate building.",من محطة الرمل، امشِ جنوباً على شارع فؤاد لمدة 5 دقائق للوصول إلى المتحف في مبنى القنصلية الإيطالية التاريخي.,Tram,"Raml Station Square, Alexandria",ميدان محطة الرمل، الإسكندرية,31.20155,29.90089,0.7,TRUE,TRUE,05:00-01:00
TRANS-040,SITE-318,Serapeum of Alexandria,Karmouz Bus Stop,موقف كرموز,"From Karmouz stop, take a short taxi ride or walk 10 minutes uphill toward the Serapeum hill where Pompey's Pillar is located.",من موقف كرموز، استقل تاكسي قصير أو امشِ 10 دقائق صعوداً نحو تل السرابيوم حيث يوجد عمود السواري.,Bus,"Karmouz Square, Alexandria",ميدان كرموز، الإسكندرية,31.1852,29.8971,0.8,TRUE,FALSE,06:00-23:00
TRANS-041,SITE-319,Catacombs of Kom El Shoqafa,Karmouz Bus Stop,موقف كرموز,Alight at Karmouz stop and walk 8 minutes southwest toward Kom El Shoqafa hill to reach the catacombs entrance.,انزل عند موقف كرموز وامشِ 8 دقائق جنوب غرب باتجاه تل كوم الشقافة للوصول إلى مدخل المقابر.,Bus,"Karmouz Square, Alexandria",ميدان كرموز، الإسكندرية,31.1852,29.8971,0.9,TRUE,FALSE,06:00-23:00
TRANS-042,SITE-320,Catacombs of Mostafa Kamel,Mustafa Kamel Square,ميدان مصطفى كامل,"From Mustafa Kamel Square, walk east for about 5 minutes along the coastal road to find the catacombs site near the Rushdy district.",من ميدان مصطفى كامل، امشِ شرقاً لمدة 5 دقائق على الطريق الساحلي للوصول إلى موقع المقابر بالقرب من حي رشدي.,Taxi,"Mustafa Kamel Square, Alexandria",ميدان مصطفى كامل، الإسكندرية,31.2331,29.9485,0.4,TRUE,TRUE,00:00-00:00
TRANS-043,SITE-321,Antoniades Palace,Sporting Tram Stop,محطة ترام سبورتنج,"From Sporting tram stop, walk southeast for about 10 minutes to reach Antoniades Garden and Palace entrance on Horiya Road.",من محطة ترام سبورتنج، امشِ جنوب شرق لمدة 10 دقائق للوصول إلى حديقة ومدخل قصر أنطونيادس على طريق الحرية.,Tram,"Port Said Street, Sporting, Alexandria",شارع بورسعيد، سبورتنج، الإسكندرية,31.2185,29.9321,1.5,TRUE,TRUE,05:00-01:00
TRANS-044,SITE-322,Montaza Palace,Montaza Bus Stop,موقف المنتزه,Alight at Montaza stop and walk 5 minutes through the gardens to reach the palace grounds and royal beach area.,انزل عند موقف المنتزه وامشِ 5 دقائق عبر الحدائق للوصول إلى أرض القصر ومنطقة الشاطئ الملكي.,Bus,"El Geish Road, Montaza, Alexandria",طريق الجيش، المنتزه، الإسكندرية,31.2865,30.0123,0.5,TRUE,TRUE,06:00-23:00
TRANS-045,SITE-323,Sidi Morsi Abu al Abbas Mosque,Anfushi Bus Stop,موقف أنفوشي,"From Anfushi stop, walk 5 minutes along the western harbor corniche to reach the mosque complex in the heart of Anfushi district.",من موقف أنفوشي، امشِ 5 دقائق على كورنيش الميناء الغربي للوصول إلى مجمع المسجد في قلب حي الأنفوشي.,Bus,"Ras El Tin Street, Anfoushi, Alexandria",شارع رأس التين، الأنفوشي، الإسكندرية,31.2085,29.8821,0.4,TRUE,FALSE,06:00-23:00
TRANS-046,SITE-324,Alexandria Ancient Roman Theater,Raml Station Tram Stop,محطة الرمل,"From Raml Station, walk south for about 7 minutes along Nabi Daniel Street to reach the Roman Theater site at Kom el-Dikka.",من محطة الرمل، امشِ جنوباً لمدة 7 دقائق على شارع النبي دانيال للوصول إلى موقع المسرح الروماني في كوم الدكة.,Tram,"Raml Station Square, Alexandria",ميدان محطة الرمل، الإسكندرية,31.20155,29.90089,0.6,TRUE,TRUE,05:00-01:00
TRANS-047,SITE-325,St Mark's Cathedral Alexandria,Raml Station Tram Stop,محطة الرمل,"From Raml Station, walk 5 minutes south along Nabi Daniel Street to find the Coptic Cathedral on the left side.",من محطة الرمل، امشِ 5 دقائق جنوباً على شارع النبي دانيال للوصول إلى الكاتدرائية القبطية على الجانب الأيسر.,Tram,"Raml Station Square, Alexandria",ميدان محطة الرمل، الإسكندرية,31.20155,29.90089,0.5,TRUE,TRUE,05:00-01:00
TRANS-048,SITE-326,Taposiris Magna,Borg El Arab Bus Station,موقف برج العرب,"From Borg El Arab station, take a local taxi heading west along the Alexandria-Matrouh road for about 15 minutes to reach the Taposiris Magna site.",من موقف برج العرب، استقل تاكسي محلي غرباً على طريق الإسكندرية-مطروح لمدة 15 دقيقة للوصول إلى موقع تابوزيريس ماجنا.,Bus,"Borg El Arab Main Station, Alexandria",محطة برج العرب الرئيسية، الإسكندرية,30.89,29.56,15,TRUE,FALSE,06:00-20:00
TRANS-049,SITE-327,Shatby Cemetery,Shatby Tram Stop,محطة ترام الشاطبي,Exit Shatby tram stop and walk 3 minutes east along the corniche to reach the ancient Hellenistic cemetery entrance.,اخرج من محطة ترام الشاطبي وامشِ 3 دقائق شرقاً على الكورنيش للوصول إلى مدخل الجبانة الهلنستية القديمة.,Tram,"Port Said Street, Shatby, Alexandria",شارع بورسعيد، الشاطبي، الإسكندرية,31.20567,29.91456,0.3,TRUE,TRUE,05:00-01:00
TRANS-050,SITE-328,Anfushi Tombs,Anfushi Bus Stop,موقف أنفوشي,"From Anfushi stop, walk 5 minutes into the Anfushi neighborhood heading toward the eastern harbor to reach the Ptolemaic tombs.",من موقف أنفوشي، امشِ 5 دقائق داخل حي الأنفوشي باتجاه الميناء الشرقي للوصول إلى المقابر البطلمية.,Bus,"Ras El Tin Street, Anfoushi, Alexandria",شارع رأس التين، الأنفوشي، الإسكندرية,31.2085,29.8821,0.5,TRUE,FALSE,06:00-23:00
TRANS-051,SITE-329,Ras el Soda Temple,Ras el Soda Bus Stop,موقف الرأس السوداء,Alight directly at Ras el Soda stop and walk 3 minutes toward the seafront to find the Roman-era temple site.,انزل مباشرة عند موقف الرأس السوداء وامشِ 3 دقائق باتجاه الواجهة البحرية للوصول إلى موقع المعبد الروماني.,Bus,"Mustafa Kamel Road, Ras el Soda, Alexandria",طريق مصطفى كامل، الرأس السوداء، الإسكندرية,31.258,30.005,0.2,TRUE,FALSE,06:00-23:00
TRANS-052,SITE-330,Cavafy Museum,Raml Station Tram Stop,محطة الرمل,"From Raml Station, walk 5 minutes east along Sharm El Sheikh Street to reach Cavafy's preserved apartment on the upper floor of the museum building.",من محطة الرمل، امشِ 5 دقائق شرقاً على شارع شرم الشيخ للوصول إلى شقة كفافيس المحفوظة في الطابق العلوي من مبنى المتحف.,Tram,"Raml Station Square, Alexandria",ميدان محطة الرمل، الإسكندرية,31.20155,29.90089,0.3,TRUE,TRUE,05:00-01:00
TRANS-053,SITE-331,Monastery of Saint Mina,Abu Mena Bus Stop,موقف أبو مينا,"From Abu Mena stop, take a local taxi or microbus for about 10 minutes southwest to reach the monastery complex near Abu Mena area.",من موقف أبو مينا، استقل تاكسي أو ميكروباص محلي لمدة 10 دقائق جنوب غرب للوصول إلى مجمع الدير بالقرب من منطقة أبو مينا.,Bus,"Abu Mena Desert Road, Alexandria",طريق أبو مينا الصحراوي، الإسكندرية,30.85,29.66,12,TRUE,FALSE,06:00-18:00
TRANS-054,SITE-332,Sacred Heart Church,Raml Station Tram Stop,محطة الرمل,"From Raml Station, walk 5 minutes west along Fouad Street to find the Sacred Heart Church in the downtown area.",من محطة الرمل، امشِ 5 دقائق غرباً على شارع فؤاد للوصول إلى كنيسة القلب المقدس في منطقة وسط البلد.,Tram,"Raml Station Square, Alexandria",ميدان محطة الرمل، الإسكندرية,31.20155,29.90089,0.4,TRUE,TRUE,05:00-01:00
TRANS-055,SITE-333,Saint Catherine Cathedral,Raml Station Tram Stop,محطة الرمل,"From Raml Station, walk 7 minutes west along Fouad Street toward Manshiya Square to find Saint Catherine Cathedral on your right.",من محطة الرمل، امشِ 7 دقائق غرباً على شارع فؤاد باتجاه ميدان المنشية للوصول إلى كاتدرائية سانت كاترين على يمينك.,Tram,"Raml Station Square, Alexandria",ميدان محطة الرمل، الإسكندرية,31.20155,29.90089,0.6,TRUE,TRUE,05:00-01:00
TRANS-056,SITE-334,Terbanh Mosque,Attarine Bus Stop,موقف العطارين,Alight at Attarine stop and walk 5 minutes through the historic market area to reach the Ottoman-era Terbanh Mosque.,انزل عند موقف العطارين وامشِ 5 دقائق عبر منطقة السوق التاريخية للوصول إلى مسجد تربانة من العصر العثماني.,Bus,"Attarine Main Street, Alexandria",شارع العطارين الرئيسي، الإسكندرية,31.1945,29.899,0.3,TRUE,FALSE,06:00-23:00
TRANS-057,SITE-335,El Nabi Daniel Mosque,Raml Station Tram Stop,محطة الرمل,"From Raml Station, walk south for 3 minutes along Nabi Daniel Street to reach the mosque directly on your left.",من محطة الرمل، امشِ جنوباً لمدة 3 دقائق على شارع النبي دانيال للوصول إلى المسجد مباشرة على يسارك.,Tram,"Raml Station Square, Alexandria",ميدان محطة الرمل، الإسكندرية,31.20155,29.90089,0.2,TRUE,TRUE,05:00-01:00
TRANS-058,SITE-336,Ras el-Tin Palace,Anfushi Bus Stop,موقف أنفوشي,"From Anfushi stop, walk 10 minutes west along the corniche toward Ras el-Tin headland to reach the palace entrance gate.",من موقف أنفوشي، امشِ 10 دقائق غرباً على الكورنيش باتجاه رأس التين للوصول إلى بوابة مدخل القصر.,Bus,"Ras El Tin Street, Anfoushi, Alexandria",شارع رأس التين، الأنفوشي، الإسكندرية,31.2085,29.8821,1,TRUE,FALSE,06:00-23:00
TRANS-059,SITE-337,Water Biology Exhibition,Anfushi Bus Stop,موقف أنفوشي,"From Anfushi stop, walk 8 minutes along the western harbor road to reach the Marine Biology Exhibition on the waterfront.",من موقف أنفوشي، امشِ 8 دقائق على طريق الميناء الغربي للوصول إلى معرض الأحياء المائية على الواجهة البحرية.,Bus,"Ras El Tin Street, Anfoushi, Alexandria",شارع رأس التين، الأنفوشي، الإسكندرية,31.2085,29.8821,0.8,TRUE,FALSE,06:00-23:00
TRANS-060,SITE-338,Museum of Fine Arts,Moharram Bey Tram Stop,محطة ترام محرم بك,Exit Moharram Bey tram stop and walk 7 minutes north toward Menasa Square to reach the Museum of Fine Arts building.,اخرج من محطة ترام محرم بك وامشِ 7 دقائق شمالاً باتجاه ميدان المنسى للوصول إلى مبنى متحف الفنون الجميلة.,Tram,"Moharram Bey Street, Alexandria",شارع محرم بك، الإسكندرية,31.191,29.91,0.6,TRUE,TRUE,05:00-01:00
TRANS-061,SITE-339,Mahmoud Said Museum,Moharram Bey Tram Stop,محطة ترام محرم بك,"From Moharram Bey stop, walk 10 minutes north toward the corniche area to find the Mahmoud Said Museum villa complex near Gianaclis.",من محطة ترام محرم بك، امشِ 10 دقائق شمالاً باتجاه الكورنيش للوصول إلى مجمع فيلا متحف محمود سعيد بالقرب من جياناكليس.,Tram,"Moharram Bey Street, Alexandria",شارع محرم بك، الإسكندرية,31.191,29.91,0.9,TRUE,TRUE,05:00-01:00
TRANS-062,SITE-343,Pyramid of Djedefre,Abu Rawash Microbus Stop,موقف ميكروباص أبو رواش,"From Abu Rawash microbus stop, take a local taxi for about 10 minutes northwest toward the desert plateau to reach the Djedefre pyramid ruins.",من موقف ميكروباص أبو رواش، استقل تاكسي محلي لمدة 10 دقائق شمال غرب باتجاه الهضبة الصحراوية للوصول إلى أطلال هرم جدف رع.,Bus,"Mansouriya Road, Abu Rawash, Giza",طريق المنصورية، أبو رواش، الجيزة,30.04,31.08,3.5,TRUE,FALSE,06:00-20:00
TRANS-063,SITE-344,Dahshur Necropolis,Dahshur Microbus Stop,موقف ميكروباص دهشور,Alight at Dahshur stop and take a short taxi or walk 15 minutes into the desert to reach the Red and Bent Pyramids entrance area.,انزل عند موقف دهشور واستقل تاكسي أو امشِ 15 دقيقة داخل الصحراء للوصول إلى منطقة مدخل الهرمين الأحمر والمائل.,Bus,"Mansouriya Road, Dahshur, Giza",طريق المنصورية، دهشور، الجيزة,29.815,31.21,4,TRUE,FALSE,06:00-20:00
