Sponsor ID,Title (English),Title (Localized),Description (English),Description (Localized),Address (English),Address (Localized),Status,Type,Tier,Latitude,Longitude,Start Date,End Date,Website URL 'NULLABLE',Contact Phone 'NULLABLE',Contact Email 'NULLABLE'
SPON-011,Ramasside Tours,رامسيد تورز,"Egypt's top-rated luxury tour operator, ranked No.1 locally, specialising in custom private tours and expert-guided experiences across Cairo's ancient sites and beyond.",أفضل شركة سياحة فاخرة في مصر وتُصنَّف الأولى محلياً، متخصصة في الجولات الخاصة المصممة وفق الطلب والتجارب بصحبة مرشدين خبراء في المواقع الأثرية بالقاهرة وخارجها.,"Heliopolis, Cairo",مصر الجديدة، القاهرة,Active,TravelAgency,Gold,30.089,31.325,01/06/2026,31/12/2026,https://www.ramassidetours.com,20225175555,info@ramassidetours.com
SPON-012,Steigenberger Hotel El Tahrir,فندق شتايجنبرجر التحرير,"A top-rated 5-star hotel directly overlooking Tahrir Square in downtown Cairo, perfect for tourists visiting the Egyptian Museum, with refined dining and modern amenities.",فندق خمس نجوم مطل مباشرة على ميدان التحرير في وسط القاهرة، مثالي للسياح الزائرين للمتحف المصري، مع مطاعم راقية ووسائل راحة حديثة.,"2 Kasr El Nil St., Tahrir Square, Cairo",2 شارع قصر النيل، ميدان التحرير، القاهرة,Active,Hotel,Gold,30.0452,31.2344,01/06/2026,31/12/2026,https://www.steigenberger.com/cairo,20227920000,
SPON-013,Kazaz Restaurant,مطعم كزاز,"A wildly popular downtown Cairo fast-food institution famous for its exceptional shawarma and grilled meats, consistently drawing long queues of loyal local diners.",مطعم وجبات سريعة شعبي للغاية في وسط القاهرة، يشتهر بالشاورما المتميزة واللحوم المشوية، ويستقطب باستمرار طوابير طويلة من الزبائن المحليين المخلصين.,"11 Talaat Harb St., Downtown, Cairo",11 شارع طلعت حرب، وسط البلد، القاهرة,Active,Restaurant,Bronze,30.0482,31.2348,01/06/2026,31/12/2026,,20223933050,
SPON-014,Khufu's Restaurant,مطعم خوفو,"An award-winning fine-dining restaurant set against the backdrop of the Giza Pyramids, offering an extraordinary Egyptian and international menu with unmatched views of the ancient wonders.",مطعم فاخر حائز على جوائز بخلفية أهرامات الجيزة، يقدم قائمة طعام مصرية ودولية استثنائية مع إطلالات لا مثيل لها على العجائب القديمة.,"Giza Pyramids Complex, El Haram, Giza",مجمع أهرامات الجيزة، الهرم، الجيزة,Active,Restaurant,Platinum,29.9756,31.1338,01/06/2026,31/12/2026,https://www.khufus.com,20237800000,
SPON-015,Sachi Restaurant Heliopolis,مطعم ساتشي هليوبوليس,"An award-winning Cairo icon in the historic Korba district of Heliopolis serving refined Mediterranean and Japanese cuisine, consistently ranked among the region's best restaurants.",أيقونة قاهرية حائزة على جوائز في حي كوربة التاريخي بمصر الجديدة، تقدم المأكولات المتوسطية واليابانية الراقية وتُصنَّف باستمرار ضمن أفضل مطاعم المنطقة.,"4 Baghdad St., Korba, Heliopolis, Cairo",4 شارع بغداد، كوربة، مصر الجديدة، القاهرة,Active,Restaurant,Gold,30.08821,31.32204,01/06/2026,31/12/2026,,20222907788,
SPON-016,Thomas Cook Egypt,توماس كوك مصر,"A globally trusted travel agency with a strong Egyptian presence, offering comprehensive tour packages, Nile cruises, hotel bookings, and visa services for international tourists.",وكالة سفر موثوقة عالمياً بحضور قوي في مصر، تقدم باقات سياحية شاملة ورحلات نيلية وحجوزات فنادق وخدمات تأشيرات للسياح الدوليين.,"16 Manshiyat El Bakri St., Heliopolis, Cairo",16 شارع منشية البكري، مصر الجديدة، القاهرة,Active,TravelAgency,Silver,30.0864,31.321,01/06/2026,31/12/2026,https://www.thomascook.com,20224142000,
SPON-017,Fairmont Nile City Hotel,فندق فيرمونت نايل سيتي,A stunning luxury 5-star hotel in Ramlet Boulaq with floor-to-ceiling windows offering some of Cairo's most spectacular Nile views. Home to multiple award-winning restaurants and a rooftop pool.,فندق فاخر خمس نجوم رائع في رملة بولاق بنوافذ من الأرض إلى السقف توفر بعضاً من أروع الإطلالات على النيل في القاهرة. يضم عدة مطاعم حائزة على جوائز وحمام سباحة على السطح.,"2005 Corniche El Nil, Ramlet Boulaq, Cairo",2005 كورنيش النيل، رملة بولاق، القاهرة,Active,Hotel,Platinum,30.06478,31.2282,01/06/2026,31/12/2026,https://www.fairmont.com/nile-city-cairo,20225780000,nilecity@fairmont.com
SPON-018,Four Seasons Hotel Cairo at Nile Plaza,فندق فور سيزونز القاهرة نايل بلازا,"A 30-storey ultra-luxury 5-star hotel on the Nile in Garden City, rated Cairo's No.1 luxury hotel. Minutes from the Egyptian Museum, with world-class dining and an award-winning spa.",فندق فاخر من 30 طابقاً على النيل في جاردن سيتي، يُصنَّف الأول في القاهرة للفنادق الفاخرة. على بُعد دقائق من المتحف المصري، مع مطاعم عالمية المستوى وسبا حائز على جوائز.,"1089 Corniche El Nil, Garden City, Cairo",1089 كورنيش النيل، جاردن سيتي، القاهرة,Active,Hotel,Platinum,30.0356,31.2296,01/06/2026,31/12/2026,https://www.fourseasons.com/caironp,20227917000,reservations.cai@fourseasons.com
SPON-019,The Nile Ritz-Carlton Cairo,ذا نايل ريتز كارلتون القاهرة,"An iconic luxury hotel originally opened in 1959, located between the Nile, Tahrir Square, and the Egyptian Museum. One of Cairo's most celebrated 5-star properties with unmatched heritage.",فندق فاخر أسطوري افتُتح عام 1959، يقع بين النيل وميدان التحرير والمتحف المصري. من أبرز فنادق القاهرة الخمس نجوم بتراث لا مثيل له.,"1113 Corniche El Nil, Qasr El Nil, Cairo",1113 كورنيش النيل، قصر النيل، القاهرة,Active,Hotel,Platinum,30.0438,31.231,01/06/2026,31/12/2026,https://www.ritzcarlton.com/cairo,20227018000,
SPON-020,InterContinental Cairo Semiramis,إنتركونتيننتال القاهرة سميراميس,"A landmark 5-star hotel on the Nile Corniche in Garden City with 9 signature restaurants, a rooftop pool, and stunning sunset views. Just steps from the Egyptian Museum.",فندق خمس نجوم بارز على كورنيش النيل في جاردن سيتي مع 9 مطاعم مميزة وحمام سباحة على السطح وإطلالات رائعة على الغروب. على بُعد خطوات من المتحف المصري.,"Corniche El Nil, Qasr El Nil, Cairo",كورنيش النيل، قصر النيل، القاهرة,Active,Hotel,Gold,30.04301,31.23252,01/06/2026,31/12/2026,https://www.ihg.com/intercontinental/cairo-semiramis,20227988000,info.semiramisic@ihg.com
SPON-021,Khan El Khalili Restaurant & Naguib Mahfouz Café,مطعم خان الخليلي ومقهى نجيب محفوظ,"A captivating dining experience inside Khan El Khalili bazaar, named after Nobel Prize-winning author Naguib Mahfouz. Renowned for its authentic Egyptian decor, live music, and cultural atmosphere.",تجربة طعام آسرة داخل بازار خان الخليلي، سُمّي تكريماً للأديب نجيب محفوظ الحائز على نوبل. اشتُهر بديكوره المصري الأصيل والموسيقى الحية وأجوائه الثقافية.,"5 Sekket El Badestan St., Khan El Khalili, El Gamaliya, Cairo",5 شارع سكة البادستان، خان الخليلي، الجمالية، القاهرة,Active,Restaurant,Silver,30.0477,31.2613,01/06/2026,31/12/2026,,20225903788,
SPON-022,Gad Restaurant,مطعم جاد,"One of Cairo's most beloved and widespread fast-food chains, serving authentic Egyptian staples including koshary, foul, taamiya, and grilled meats at affordable prices across the city.",واحدة من أكثر سلاسل الوجبات السريعة شعبية وانتشاراً في القاهرة، تقدم الأكلات المصرية الأصيلة كالكشري والفول والطعمية واللحوم المشوية بأسعار معقولة.,"21 Abdel Khaleq Tharwat St., Downtown, Cairo",21 شارع عبد الخالق ثروت، وسط البلد، القاهرة,Active,Restaurant,Bronze,30.0502,31.2464,01/06/2026,31/12/2026,,20222905050,
SPON-023,Zitouni Restaurant,مطعم الزيتوني,"An award-winning upscale Egyptian restaurant at the Four Seasons Hotel Cairo, rated No.1 for views and experiences in the city. Serves refined traditional Egyptian cuisine overlooking the Nile.",مطعم مصري راقٍ حائز على جوائز في فندق فور سيزونز القاهرة، يُصنَّف الأول من حيث الإطلالات والتجارب في المدينة. يقدم المأكولات المصرية التقليدية الراقية بإطلالة على النيل.,"1089 Corniche El Nil, Four Seasons Hotel, Garden City, Cairo",1089 كورنيش النيل، فندق فور سيزونز، جاردن سيتي، القاهرة,Active,Restaurant,Platinum,30.0356,31.2296,01/06/2026,31/12/2026,https://www.fourseasons.com/caironp/dining/restaurants/zitouni,20227917000,
SPON-024,Semiramis InterContinental The Grill,مطعم ذا جريل – سميراميس إنتركونتيننتال,"An iconic fine-dining steakhouse inside the Semiramis InterContinental, celebrated for premium aged cuts with stunning Nile views. One of Cairo's top fine-dining destinations for over three decades.",مطعم ستيك فاخر بداخل سميراميس إنتركونتيننتال، يشتهر بقطع اللحوم المعتقة الممتازة مع إطلالات خلابة على النيل. من أبرز وجهات المطاعم الراقية في القاهرة منذ أكثر من ثلاثة عقود.,"Corniche El Nil, Garden City, Cairo",كورنيش النيل، جاردن سيتي، القاهرة,Active,Restaurant,Gold,30.04301,31.23252,01/06/2026,31/12/2026,https://www.ihg.com/intercontinental/cairo-semiramis,20227988000,
SPON-025,Hilton Cairo Heliopolis,هيلتون القاهرة مصر الجديدة,"A top-tier 5-star hotel near Cairo International Airport in Heliopolis, offering luxurious rooms, multiple restaurants, and convenient access for international tourists arriving in Cairo.",فندق خمس نجوم من الدرجة الأولى بالقرب من مطار القاهرة الدولي في مصر الجديدة، يوفر غرفاً فاخرة ومطاعم متعددة وإمكانية وصول مريحة للسياح الدوليين القادمين إلى القاهرة.,"Uruba St., Cairo International Airport Area, Heliopolis, Cairo",شارع العروبة، منطقة مطار القاهرة الدولي، مصر الجديدة، القاهرة,Active,Hotel,Gold,30.114,31.397,01/06/2026,31/12/2026,https://www.hilton.com/cairo-heliopolis,20222400000,
SPON-026,Uber Egypt,أوبر مصر,"The leading ride-hailing service in Cairo, providing tourists with safe, app-based transportation across the city to all major archaeological sites, museums, hotels, and airports.",خدمة استدعاء السيارات الرائدة في القاهرة، توفر للسياح وسيلة تنقل آمنة عبر التطبيق عبر المدينة إلى جميع المواقع الأثرية الرئيسية والمتاحف والفنادق والمطارات.,"Cairo, Egypt (app-based service)",القاهرة، مصر (خدمة عبر التطبيق),Active,Transportation,Silver,30.04442,31.23571,01/06/2026,31/12/2026,https://www.uber.com/eg/en,,
SPON-027,Egypt Air,مصر للطيران,"Egypt's national carrier and the largest airline in Africa and the Middle East, offering domestic and international flights with connections from Cairo to Luxor, Aswan, Sharm El Sheikh and beyond.",الناقل الوطني المصري وأكبر شركة طيران في أفريقيا والشرق الأوسط، تقدم رحلات داخلية ودولية من القاهرة إلى الأقصر وأسوان وشرم الشيخ وما وراءها.,"Cairo International Airport, Heliopolis, Cairo",مطار القاهرة الدولي، مصر الجديدة، القاهرة,Active,Transportation,Platinum,30.1219,31.4056,01/06/2026,31/12/2026,https://www.egyptair.com,20227000,
SPON-028,Lazib Inn Resort & Spa,لازيب إن ريزورت وسبا,"A luxurious 5-star boutique resort in Tunis Village overlooking Lake Qarun. Ranked No.1 hotel in Fayoum Governorate, featuring 21 unique suites, 3 pools, a full spa, and the Blue Donkey restaurant with farm-to-table cuisine.",منتجع بوتيك فاخر خمس نجوم في قرية تونس يطل على بحيرة قارون. يُصنَّف الأول في محافظة الفيوم، ويضم 21 جناحاً فريداً و3 مسابح وسبا متكاملاً ومطعم Blue Donkey بمأكولات من المزرعة إلى المائدة.,"Tunis Village, Youssef El Seddik, Fayoum Governorate",قرية تونس، يوسف الصديق، محافظة الفيوم,Active,Hotel,Platinum,29.3872,30.5984,01/06/2026,31/12/2026,https://www.lazibinn.com,20842820000,info@lazibinn.com
SPON-029,Venecia Resort & Spa,فينيشيا ريزورت وسبا,"A unique 5-star lakeside resort on the shores of Lake Qarun offering six categories of wooden-hut suites, private jacuzzis, panoramic lake views, and a restaurant with Egyptian and international cuisine.",منتجع فاخر خمس نجوم فريد على شاطئ بحيرة قارون يقدم ستة تصنيفات من الأجنحة على شكل أكواخ خشبية وجاكوزي خاصاً وإطلالات بانورامية على البحيرة ومطعماً بمأكولات مصرية ودولية.,"259 Abaza St., Lake Qarun Shore, Fayoum Governorate",259 شارع أباظة، شاطئ بحيرة قارون، محافظة الفيوم,Active,Hotel,Gold,29.5012,30.5538,01/06/2026,31/12/2026,,20102848484,reservations@veneciaresort.com
SPON-030,Tache By The Lake,تاشي باي ذا ليك,"A boutique hotel and resort named after the ancient pharaonic city of Tache, located near Lake Qarun and Wadi El Rayan. Features lake-view rooms, 2 restaurants, and guided desert safari tours.",فندق بوتيك ومنتجع سُمِّي باسم مدينة تاشي الفرعونية القديمة، يقع بالقرب من بحيرة قارون ووادي الريان. يضم غرفاً بإطلالة على البحيرة ومطعمين وجولات سفاري صحراوية مع مرشدين.,"Wadi El Rayan Road, Fayoum Governorate",طريق وادي الريان، محافظة الفيوم,Active,Hotel,Silver,29.3085,30.4312,01/06/2026,31/12/2026,,201000228383,
SPON-031,Kom El Dikka Agri Lodge,كوم الدكة أجري لودج,"A 45-acre organic olive farm converted into an agri-tourism lodge in Tunis Village, overlooking Lake Qarun. Offers farm-to-table dining with fresh duck, pigeon, and organic produce in a stunning earthen-architecture setting.",مزرعة زيتون عضوية تبلغ مساحتها 45 فداناً تحولت إلى نزل سياحي زراعي في قرية تونس يطل على بحيرة قارون. يقدم وجبات من المزرعة إلى المائدة مع الحمام والبط الطازج والمنتجات العضوية في بيئة معمارية طينية رائعة.,"Tunis Village, Youssef El Seddik, Fayoum Governorate",قرية تونس، يوسف الصديق، محافظة الفيوم,Active,Hotel,Silver,29.385,30.5962,01/06/2026,31/12/2026,,201001388018,
SPON-032,Ibis Restaurant & Cooking School,مطعم إيبيس ومدرسة الطبخ,"A celebrated farm-to-table restaurant in Tunis Village founded by a Swiss chef couple, blending Egyptian and international cuisine with pottery and cooking classes. Perched on a hilltop with panoramic views of Lake Qarun.",مطعم شهير من المزرعة إلى المائدة في قرية تونس أسسه زوجان من الطهاة السويسريين، يمزج بين المأكولات المصرية والدولية مع دروس الفخار والطبخ. يقع على قمة تل مع إطلالات بانورامية على بحيرة قارون.,"Mahmoud Youssef Pottery Atelier, Tunis Village, Fayoum Governorate",معمل محمود يوسف للفخار، قرية تونس، محافظة الفيوم,Active,Restaurant,Gold,29.3865,30.5972,01/06/2026,31/12/2026,,201060906048,
SPON-033,Explore Fayoum Tours,إكسبلور الفيوم تورز,"Fayoum's leading local tour operator offering guided day trips to Wadi El Rayan, Wadi Hitan UNESCO site, Lake Qaroun, the Petrified Forest, and Hawara Pyramid with expert Bedouin guides.",شركة السياحة المحلية الرائدة في الفيوم تقدم رحلات يومية مع مرشدين إلى وادي الريان وموقع وادي حيتان اليونسكو وبحيرة قارون والغابة المتحجرة وهرم هوارة مع مرشدين بدويين خبراء.,"Tunis Village, Youssef El Seddik, Fayoum Governorate",قرية تونس، يوسف الصديق، محافظة الفيوم,Active,Tour,Silver,29.386,30.597,01/06/2026,31/12/2026,https://www.fayoumegypt.com,,
SPON-034,Fayoum Hotel Armed Forces,فندق الفيوم للقوات المسلحة,"A comfortable 3-star hotel in Fayoum city center offering a restaurant, complimentary breakfast, outdoor pool, and easy access to major Fayoum attractions including the Water Wheels and Hawara Pyramid.",فندق مريح ثلاث نجوم في مركز مدينة الفيوم يوفر مطعماً وإفطاراً مجانياً وحمام سباحة خارجياً وسهولة الوصول إلى أبرز معالم الفيوم بما فيها السواقي وهرم هوارة.,"Shakshouk, Ibsheway, Fayoum Governorate",شاكشوك، إبشواي، محافظة الفيوم,Active,Hotel,Bronze,29.3064,30.842,01/06/2026,31/12/2026,,20846300000,
SPON-036,Wadi El Rayan Safari Camp,مخيم سفاري وادي الريان,"A local desert adventure operator at the edge of Wadi El Rayan National Park offering 4x4 dune-bashing, sandboarding, boat trips on the upper lake, and overnight glamping near the waterfalls.",مشغل مغامرات صحراوي محلي عند أطراف محمية وادي الريان يقدم رحلات تضاريسية بسيارات الدفع الرباعي وتزلجاً على الرمال ورحلات بالقوارب على البحيرة العليا وتخييماً فاخراً بالقرب من الشلالات.,"Wadi El Rayan National Park, Fayoum Governorate",محمية وادي الريان الطبيعية، محافظة الفيوم,Active,Tour,Bronze,29.245,30.378,01/06/2026,31/12/2026,,201000228383,
SPON-038,Trianon Cafe,كافيه تريانون,"A legendary cafe operating since 1905 on the Corniche, offering stunning sea views and classic pastries.",كافيه أسطوري يعمل منذ عام 1905 على كورنيش الإسكندرية، يقدم إطلالات بحرية رائعة ومعجنات كلاسيكية.,"Saad Zaghloul Square, Al Attarin, Alexandria Governorate",ميدان سعد زغلول، العطارين، محافظة الإسكندرية,Active,Cafe,Gold,31.20159,29.8968,01/06/2026,31/12/2026,,+201285839731,
SPON-039,Delices Patisserie,دولسيه باتيسيري,"A beloved Alexandria landmark since 1922, famous for French-Egyptian sweets, croissants, and aromatic coffee.",معلم محبوب في الإسكندرية منذ عام 1922، مشهور بالحلويات الفرنسية المصرية والكرواسون والقهوة العطرة.,"40 Safia Zaghloul St, Al Attarin, Alexandria Governorate",40 شارع صفية زغلول، العطارين، محافظة الإسكندرية,Active,Cafe,Gold,31.20131,29.8971,01/06/2026,31/12/2026,,+2034861432,
SPON-040,Mohamed Ahmed Restaurant,مطعم محمد أحمد,A downtown Alexandria institution serving the best traditional Egyptian ful and falafel since decades.,مؤسسة في وسط الإسكندرية تقدم أفضل الفول والفلافل المصري التقليدي منذ عقود.,"17 Shekh Ali Al Sayed St, Al Attarin, Alexandria Governorate",17 شارع شيخ علي السيد، العطارين، محافظة الإسكندرية,Active,Restaurant,Silver,31.1996,29.8938,01/06/2026,31/12/2026,,+201111479471,
SPON-041,Greek Club Restaurant,مطعم النادي اليوناني,One of the most iconic restaurants in Alexandria with unmatched views over the Alexandrian harbor.,أحد أشهر مطاعم الإسكندرية مع إطلالات لا مثيل لها على ميناء الإسكندرية.,"28 El Corniche, Al Silsila, Alexandria Governorate",28 الكورنيش، السلسلة، محافظة الإسكندرية,Active,Restaurant,Platinum,31.21117,29.8841,01/06/2026,31/12/2026,,+2034801706,
SPON-042,Stefano's Restaurant,مطعم ستيفانوز,"A cozy Italian restaurant in Roshdy offering pizzas and pastas with an Egyptian twist, perfect for families.",مطعم إيطالي دافئ في رشدي يقدم البيتزا والمعكرونة بلمسة مصرية، مثالي للعائلات.,"Roshdy, Alexandria Governorate",رشدي، محافظة الإسكندرية,Active,Restaurant,Silver,31.2254,29.9518,01/06/2026,31/12/2026,,+2035818000,
SPON-043,Four Seasons Hotel Alexandria,فندق فور سيزونز الإسكندرية,A luxury 5-star hotel on the Mediterranean coast offering world-class amenities and stunning sea views.,فندق فاخر 5 نجوم على ساحل البحر الأبيض المتوسط يوفر مرافق عالمية المستوى وإطلالات بحرية رائعة.,"399 El Geish Road, San Stefano, Alexandria Governorate",399 طريق الجيش، سان ستيفانو، محافظة الإسكندرية,Active,Hotel,Platinum,31.2364,29.9735,01/06/2026,31/12/2026,https://www.fourseasons.com/alexandria,+2035818000,
SPON-044,Sheraton Alexandria Hotel,فندق شيراتون الإسكندرية,An iconic beachfront hotel on the Corniche offering premium hospitality and Mediterranean views.,فندق ساحلي مميز على الكورنيش يوفر ضيافة راقية وإطلالات على البحر الأبيض المتوسط.,"Corniche Road, El Montazah, Alexandria Governorate",طريق الكورنيش، المنتزه، محافظة الإسكندرية,Active,Hotel,Gold,31.2791,30.0124,01/06/2026,31/12/2026,,+2035480550,
SPON-045,Hilton Alexandria Corniche,هيلتون الإسكندرية كورنيش,A premium hotel located directly on the Alexandria Corniche with elegant rooms and fine dining options.,فندق متميز يقع مباشرة على كورنيش الإسكندرية مع غرف أنيقة وخيارات تناول طعام راقية.,"544 El Geish Road, Al Azarita, Alexandria Governorate",544 طريق الجيش، الأزاريطة، محافظة الإسكندرية,Active,Hotel,Gold,31.2148,29.9138,01/06/2026,31/12/2026,https://www.hilton.com,+2035490935,
SPON-046,Windsor Palace Hotel,فندق وندسور بالاس,A historic seafront hotel with rooftop restaurant offering panoramic views of the Bay of Alexandria.,فندق تاريخي على الواجهة البحرية مع مطعم على السطح يوفر إطلالات بانورامية على خليج الإسكندرية.,"17 Shohada Square, Al Attarin, Alexandria Governorate",17 ميدان الشهداء، العطارين، محافظة الإسكندرية,Active,Hotel,Gold,31.20087,29.8959,01/06/2026,31/12/2026,,+2034808256,
SPON-047,Montazah Beach Club,نادي شاطئ المنتزه,An elegant beachfront venue within the Montazah Gardens offering seaside dining and leisure activities.,مكان ساحلي أنيق داخل حدائق المنتزه يوفر تناول الطعام على شاطئ البحر وأنشطة ترفيهية.,"Montazah Palace Grounds, El Montazah, Alexandria Governorate",أرض قصر المنتزه، المنتزه، محافظة الإسكندرية,Active,Service,Silver,31.2835,30.0226,01/06/2026,31/12/2026,,,
SPON-048,Sky Roof Lounge,سكاي روف لاونج,A rooftop bar and lounge in San Stefano with stunning Mediterranean coast views and a vibrant atmosphere.,بار وصالة على السطح في سان ستيفانو مع إطلالات رائعة على ساحل البحر الأبيض المتوسط وأجواء نابضة بالحياة.,"San Stefano, Al Seyouf, Alexandria Governorate",سان ستيفانو، السيوف، محافظة الإسكندرية,Active,Cafe,Silver,31.2359,29.9721,01/06/2026,31/12/2026,,+2034808700,
