City ID,City Name (English),City Name (Localized),Description (English),Description (Localized),Center Latitude,Center Longitude,Display Order
CITY-015,The New Valley Governorate,الوادي الجديد,"New Valley is a governorate of Egypt. It is in the southwestern part of the country, in the south of Egypt Western Desert, between the Nile, northern Sudan, and southeastern Libya.",الوادي الجديد هو إحدى محافظات مصر. يقع في الجزء الجنوبي الغربي من البلاد، في جنوب الصحراء الغربية المصرية، بين النيل وشمال السودان وجنوب شرق ليبيا.,24.60793277,27.17850453,10
CITY-014,"Marsa Matruh",مرسى مطروح,"Marsa Matruh is a resort town on Egypt’s Mediterranean coast, known for its lagoons and white-sand beaches. It’s on a large bay, with the resort stretching along the shore. West of the town, Cleopatra’s Beach is surrounded by rocks, creating a natural pool called Cleopatra’s Bath. Near Rommel’s Beach is the Rommel Museum, with memorabilia and maps, in caves that served as the German WWII commander’s headquarters.","مرسى مطروح مدينة منتجعية على ساحل البحر الأبيض المتوسط ​​في مصر، تشتهر ببحيراتها وشواطئها ذات الرمال البيضاء. تقع المدينة على خليج واسع، ويمتد المنتجع على طول الشاطئ. غرب المدينة، يقع شاطئ كليوباترا المحاط بالصخور، مما يُشكّل بركة طبيعية تُعرف باسم حمام كليوباترا. بالقرب من شاطئ رومل، يقع متحف رومل، الذي يضم تذكارات وخرائط، في كهوف كانت بمثابة مقر قيادة القائد الألماني خلال الحرب العالمية الثانية.",31.35485871,27.23731145,11
CITY-011,Beheira,البحيرة,"Beheira Governorate is a strategic coastal region located in the northern part of Egypt within the Nile Delta, just west of the Rosetta branch of the Nile. With Damanhur as its capital, the governorate is home to nearly 7 million people as of 2024, the vast majority of whom live in rural areas. Beheira is a vital agricultural and industrial hub, known for its production of cotton, chemicals, and carpets, and is well-connected by four major highways. The region is also rich in historical and cultural heritage, housing important Roman and Byzantine archaeological sites, as well as some of Egypt's most significant Coptic monasteries in Wadi El Natrun. This historical depth was further highlighted in 2026 with the discovery of a 5th-century monastic guesthouse in Hosh Issa. Furthermore, Beheira made modern history in 2017 when it became the first Egyptian governorate to be led by a female governor.",تُعد محافظة البحيرة منطقة ساحلية استراتيجية تقع في الجزء الشمالي من مصر داخل دلتا النيل، إلى الغرب من فرع رشيد. تتخذ المحافظة من مدينة دمنهور عاصمة لها، ويقترب عدد سكانها من 7 ملايين نسمة وفقاً لتقديرات عام 2024، وتعيش الأغلبية العظمى منهم في المناطق الريفية. تُمثل البحيرة مركزاً زراعياً وصناعياً حيوياً، حيث تشتهر بإنتاج القطن والكيماويات والسجاد، وتتمتع بشبكة ربط قوية عبر أربعة طرق سريعة رئيسية. تزخر المنطقة بتراث تاريخي وثقافي غني، إذ تضم مواقع أثرية مهمة تعود للحقبتين الرومانية والبيزنطية، إلى جانب بعض أهم الأديرة القبطية في مصر والواقعة في وادي النطرون. وقد تجلى هذا العمق التاريخي مؤخراً في عام 2026 باكتشاف دار ضيافة رهبانية تعود للقرن الخامس الميلادي في مدينة حوش عيسى. علاوة على ذلك، سَطّرت البحيرة تاريخاً حديثاً في عام 2017 عندما أصبحت أول محافظة مصرية تتولى قيادتها محافظة سيدة.,30.610286,30.430119,12
CITY-017,Sharqia,الشرقية,"Sharqia Governorate boasts numerous archaeological treasures and tourism potential, standing unique among the Lower Egypt governorates, as it contains 120 archaeological sites scattered throughout its regions, the most famous of which are Tell Basta and San El-Hagar.
In ancient times, Sharqia Governorate was the 12th province of Lower Egypt, and its ancient capital was (Bubastis), which at one point in history became the capital of all Egypt. The Sharqia region was formed under its current name during the Fatimid era; prior to that, it was divided into several small ""Kuras"" (districts), each independent, which were then merged and named ""Sharqia"" due to its location in the eastern part of Lower Egypt. In 1315, it was named ""Al-A'mal al-Sharqia,"" and in 1527, it was called the ""Sharqia Province."" When Muhammad Ali took over the rule of Egypt in 1805 AD, the Egyptian territory consisted of 13 provinces, divided into 7 provinces in Lower Egypt and 13 provinces in Upper Egypt. Sharqia was one of the oldest and most prominent provinces of Lower Egypt.","تزهو محافظة الشرقية بالثروات الأثرية والإمكانات السياحية المتعددة والتي تنفرد دون غيرها من محافظات الوجه البحري حيث ينتشر من بين ربوعها مائة وعشرين موقع أثرى وأشهرهم منطقتي تل بسطة – وصان الحجر.
كانت محافظة الشرقية قديما هي المقاطعة رقم 12 من مقاطعات الوجه البحري وعاصمتها القديمة (بوباستيس) والتي أصبحت في فترة من التاريخ عاصمة لمصر كلها. وقد تكون إقليم الشرقية باسمه الحالي في عهد الدولة الفاطمية وكان قبل ذلك مقسما إلى عدة «كور» صغيرة كل كورة قائمة بذاتها ثم تم ضمها معا وسميت بالشرقية لوقوعها في الجهة الشرقية من الوجه البحري وفي عام 1315 أطلق عليها اسم الأعمال الشرقية، وفي سنة 1527 أطلق عليها اسم ولاية الشرقية. ولما تولى محمد علي حكم مصر سنة 1805 م كان القطر المصري يتكون من 13 ولاية تنقسم إلى 7 ولايات في الوجه البحري، 13 ولاية في الوجه القبلي. وكانت الشرقية إحدى ولايات الوجه البحري وأقدمها.",30.73520143,31.72398375,13
CITY-004,Kafr El-sheikh,كفر الشيخ,"Kafr El Sheikh is an Egyptian city located in the Nile Delta about 134 kilometers north of Cairo, serving as the capital of its namesake governorate with a population of approximately 186,857 as of 2023. Historically known as Duminqun—a name believed to have Coptic roots—the city was later named Fuadiyah in honor of King Fuad I. Following the 1952 Revolution and the abolition of the monarchy, it was officially renamed Kafr El Sheikh in 1955, meaning ""village of the sheikh,"" in reference to the 13th-century figure Sheikh Talhha at-Tilmisānī. Characterized by a hot desert climate, the city continues to grow as an educational and administrative center, highlighted by the establishment of the University of Kafr El Sheikh in 2006.","مدينة كفر الشيخ هي مدينة مصرية تقع في دلتا النيل على بُعد حوالي 134 كيلومتراً شمال القاهرة، وتُعد عاصمة المحافظة التي تحمل نفس الاسم، حيث يبلغ عدد سكانها حوالي 186,857 نسمة تقريباً بناءً على إحصائيات عام 2023. عُرفت المدينة تاريخياً باسم ""دمينقون"" وهو اسم يُعتقد أن له جذوراً قبطية، ثم سُميت لاحقاً بـ ""فؤادية"" تكريماً للملك فؤاد الأول. وعقب ثورة 1952 وإلغاء الملكية، تغير اسمها رسمياً في عام 1955 إلى ""كفر الشيخ"" نسبةً إلى الشيخ طلحة التلمساني الذي توفي عام 1234. تتميز المدينة بمناخ صحراوي حار، وتواصل نموها كمركز إداري وتعليمي، وهو ما توج بتأسيس جامعة كفر الشيخ عام 2006.",31.109098,30.944088,14
CITY-013,Gharbia ,الغربية,"Gharbia Governorate, located in the heart of Egypt's Nile Delta, is an agricultural and industrial hub featuring rich Islamic and Coptic history, specifically in its capital, Tanta. Top attractions include the Sayed Ahmad Albadawi Mosque, ancient churches, and scenic Nile views, offering a deeply cultural, off-the-beaten-path experience. ","تُعدّ محافظة الغربية، الواقعة في قلب دلتا النيل بمصر، مركزاً زراعياً وصناعياً غنياً بتاريخ إسلامي وقبطي عريق، لا سيما في عاصمتها طنطا. ومن أبرز معالمها مسجد السيد أحمد البدوي، والكنائس القديمة، والمناظر الخلابة للنيل، مما يوفر تجربة ثقافية فريدة من نوعها.",30.87929532,31.03343333,15
CITY-016,Menoufia,المنوفية,"The current name of Menoufia is derived from the present-day city of Menouf, which was an ancient Pharaonic village known as ""Per-Nub,"" meaning ""House of Gold."" The name Menouf is derived from its ancient name ""Men-Nefer"" in Ancient Egyptian and ""Panouphis"" in Coptic, which morphed into ""Manouphis"" after the Islamic conquest of Egypt, meaning ""The Good Land."" For ease of pronunciation, it began to be called ""Min-Nufi,"" and over time, it became ""Menouf.""",ظهر اسم المنوفية الحالي نسبة إلى مدينة منوف الحالية، التي كانت قرية فرعونية قديمة معروفة باسم «بير نوب»، الذي يعني «بيت الذهب»، واسم منوف اشتق من اسمها القديم من نفر بالمصرية القديمة وبانوفيس باللغة القبطية، والذي تحوّر إلى مانوفيس بعد الفتح الإسلامي لمصر، وتعني «الأرض الطيبة»، ولسهولة النطق أصبح يُطلق عليها من نوفي، ومع الوقت أصبحت منوف.,30.45844299,30.88932124,16
CITY-018,Qalyubia,القليوبية,"Qalyubia Governorate is one of Egypt's governorates, and its capital is the city of Banha. Qalyubia is located in the East Nile region at the head of the Delta.
In the Pharaonic era, Qalyubia was located in the tenth province of Lower Egypt, and its capital was called ""Hat-Hery-Ibt,"" meaning ""The Fortress in the Midst of the Land"" because it mediated the southern part of the Delta. Its name was ""Athribis"" in Greek and ""Athrib"" or ""Tell Athrib"" in Coptic. One of the most prominent figures from Qalyubia during the Pharaonic era was Amenhotep, son of Hapu, who rose in rank until he held the reins of power in ancient Egypt during the reign of Amenhotep III. The Pharaoh honored him by allowing him to establish a mortuary temple for himself next to the Pharaoh’s temple, and his sarcophagus was inscribed with royal inscriptions similar to those of kings.
During the Ptolemaic and Roman eras, the city of Athribis served as the capital of one of the eastern Delta provinces. Located northeast of the city of Banha at Tell Athrib, Athribis was a major agricultural, industrial, and commercial center.
In the Islamic era, Qalyubia was part of the Sharqia region. In 715 AH (1315 AD), Sultan Al-Nasir Muhammad ibn Qalawun issued a decree separating it from Sharqia and establishing it as a region named ""Al-A'mal al-Qalyubia,"" after the city of Qalyub, which he designated as its capital. In 933 AH (1527 AD), it was named the Qalyubia Province, then the Qalyubia District. In 1833 AD, it was named the Qalyubia Directorate with the city of Banha as its headquarters. In 1960 AD, it was named the Qalyubia Governorate, and the city of Banha remained its capital.","محافظة القليوبية إحدى محافظات مصر وعاصمتها مدينة بنها. وتقع محافظة القليوبية بمنطقة شرق النيل عند رأس الدلتا.
كانت القليوبية في العصر الفرعوني تقع في الإقليم العاشر من أقاليم مصر السفلى وكانت عاصمتها تسمى (حات/حرى/أيت) أي قلعة وسط الأرض لأنها تتوسط الجزء الجنوبي من الدلتا فكان اسمها بالإغريقية (أتريبس) وبالقبطية (أتريب أو تل أتريب) ومن أبرز أبناء القليوبية في العصر الفرعوني هو أمنحوتب من حسبو الذي تدرج حتى أصبح يقبض على زمام الأمور في مصر القديمة في عقد أمنحتب الثالث الذي كرمه فصرح له بإقامة معبد جنائزي لنفسه بجوار معبد الفرعون وتحت تابوته ونقش بنقوش ملكية على غرار توابيت الملوك.
وفي العصرين البطلمي والروماني مدينة أتريبس وعاصمة لإحدى محافظات شرق الدلتا وهي تقع في الشمال الشرقي من مدينة بنها عند تل أتريب وكانت أتريبس مركزا زراعيا وصناعيا وتجاريا كبيرا.
أما في العصر الإسلامي تابعة لإقليم الشرقية، وفي عام 715 هجرية 1315 ميلادية أصدر السلطان الناصر محمد بن قلاوون مرسوما بفصلها عن الشرقية واعتبارها إقليما باسم الأعمال القليوبية نسبة إلى مدينة قليوب، التي جعلها عاصمة لها وفي عام 933 هـ 1527 م سُمّيت ولاية القليوبية ثم مأمورية القليوبية، وفي سنه 1833 ميلادية سُمّيت مديرية القليوبية وقاعدتها مدينة بنها، وفي عام 1960 م سُمّيت محافظة القليوبية وظلت مدينة بنها عاصمة لها.",30.3389121,31.21516033,17
CITY-009,Suez Canal Cities,مدن القناة,"A strategic and historic region comprising three major port cities: Port Said, Ismailia, and Suez. This area is the gateway between the East and West, centered around the world-famous Suez Canal. It is characterized by its unique architectural heritage, blending European and local styles, along with its significant role in modern Egyptian history, coastal beauty, and vibrant maritime culture.",منطقة استراتيجية وتاريخية تضم ثلاث مدن ساحلية رئيسية هي: بورسعيد، الإسماعيلية، والسويس. تعتبر هذه المنطقة البوابة الفاصلة بين الشرق والغرب، وتتمحور حول قناة السويس الشهيرة عالمياً. تتميز بتراث معماري فريد يمزج بين الطراز الأوروبي والمحلي، ولها دور محوري في التاريخ المصري الحديث، بالإضافة إلى جمالها الساحلي وثقافتها البحرية الحيوية.,29.96830074,32.5485527,18
CITY-010,North Red Sea,شمال البحر الأحمر,"One of the world's premier coastal tourism destinations, stretching along the crystal-clear waters of the Red Sea. This region is famous for its year-round sunshine, diverse marine life, and world-class resorts like Hurghada and El Gouna. It offers a perfect blend of luxury, adventure, and water sports, particularly scuba diving and windsurfing, making it a hub for international and domestic travelers.",واحدة من أهم الوجهات السياحية الساحلية في العالم، تمتد على طول المياه الكريستالية للبحر الأحمر. تشتهر المنطقة بشمسها الساطعة طوال العام، والحياة البحرية المتنوعة، والمنتجعات العالمية مثل الغردقة والجونة. تقدم مزيجاً مثالياً من الرفاهية والمغامرة والرياضات المائية، وخاصة الغوص وركوب الأمواج، مما يجعلها مركزاً جاذباً للزوار على المستويين الدولي والمحلي.,27.22160047,33.74846718,19
CITY-006,Southern Red Sea,البحر الأحمر الجنوبي,"A paradise for divers and nature lovers seeking untouched beauty. Known for world-class natural reserves like Samadai (Dolphin House) and secluded beaches, this region offers ultimate tranquility and pristine marine life away from the hustle of major cities.","جنة الغواصين ومحبي الطبيعة البكر. تمتاز بوجود محميات طبيعية عالمية مثل ""صمداي"" و""بيت الدولفين""، وشواطئ منعزلة تمثل قمة الهدوء والجمال الطبيعي بعيداً عن صخب المدن الكبرى.",25.07681329,34.8784249,20
CITY-007,Heart of the Delta,قلب الدلتا,"The agricultural backbone and rural heart of Egypt. Distinguished by its vast green landscapes, it is a hub for religious tourism (such as El-Sayed El-Badawi Mosque) and authentic rural and Nile tourism, while being famous for its premium crops and industries.",عصب الزراعة والجمال الريفي في مصر. تتميز بطبيعتها الخضراء المنبسطة، وتعتبر مركزاً للسياحة الدينية (مثل مسجد السيد البدوي) والسياحة النيلية والريفية الأصيلة، بالإضافة إلى شهرتها بإنتاج أجود المحاصيل والصناعات,30.8356879,31.11362888,21
